date,three_state,minus_exit_signal,plus_exit_signal,nonzero_final_three_state,close,o2o_h1,phase
2018-01-03,0,0,0,0,6388.2533,0.007667205872451843,Development
2018-01-04,0,0,0,0,6417.535,0.005407187928592183,Development
2018-01-05,0,0,0,0,6417.2537,-0.00013913212544713893,Development
2018-01-08,0,0,0,0,6446.1818,0.004336038256321784,Development
2018-01-09,0,0,0,0,6445.7462,0.00027582849025442613,Development
2018-01-10,0,0,0,0,6405.9395,-0.008001414271017082,Development
2018-01-11,0,0,0,0,6425.9401,0.004212078213125858,Development
2018-01-12,0,0,0,0,6399.3737,-0.004278211379826313,Development
2018-01-15,0,0,0,0,6253.3759,-0.022876673847916917,Development
2018-01-16,0,0,0,0,6301.1327,0.00686354681782797,Development
2018-01-17,-1,0,0,-1,6267.4599,-0.00555911355772587,Development
2018-01-18,-1,0,0,-1,6286.8007,0.005043145988130604,Development
2018-01-19,-1,0,0,-1,6272.38,-0.0031571161246604085,Development
2018-01-22,-1,0,0,-1,6347.6383,0.012439975705354822,Development
2018-01-23,-1,0,0,-1,6354.9978,0.0016727134191236726,Development
2018-01-24,0,0,0,0,6394.2999,0.005273072430619141,Development
2018-01-25,0,0,0,0,6382.7165,-0.001988398163693672,Development
2018-01-26,0,0,0,0,6383.6312,0.0017158030691644122,Development
2018-01-29,0,0,0,0,6309.8836,-0.013106941518658433,Development
2018-01-30,0,0,0,0,6313.442,-0.0037462459224203437,Development
2018-01-31,0,0,0,0,6189.3413,-0.015410413980390114,Development
2018-02-01,0,0,0,0,5984.7428,-0.03937541360626606,Development
2018-02-02,0,0,0,0,6004.8494,-0.0016644885211410942,Development
2018-02-05,0,0,0,0,5998.2236,-0.0069826313304367504,Development
2018-02-06,0,0,0,0,5704.2641,-0.013655416590820257,Development
2018-02-07,0,0,0,0,5711.3322,-0.018997599882190075,Development
2018-02-08,0,0,0,0,5766.4797,-0.011184873634435322,Development
2018-02-09,0,0,0,0,5554.8974,-0.008922115448860679,Development
2018-02-12,0,0,0,0,5699.0979,0.02677238072130317,Development
2018-02-13,0,0,0,0,5736.9505,0.0018734120761514372,Development
2018-02-14,0,0,0,0,5754.8344,0.010286780794832584,Development
2018-02-22,0,0,0,0,5875.7272,0.013233454738175388,Development
2018-02-23,0,0,0,0,5897.6765,0.008286365116762395,Development
2018-02-26,0,0,0,0,6029.6795,0.016782878461819806,Development
2018-02-27,0,0,0,0,6010.5573,-0.009622738787900764,Development
2018-02-28,0,0,0,0,6023.677,0.0032610143434594896,Development
2018-03-01,0,0,0,0,6090.2247,0.01104283188893751,Development
