date,target_date,open,close,target_return,target_bp,phase,up_score,up_predicted,up_actual_extreme,up_score_excess,down_score,down_predicted,down_actual_extreme,down_score_excess,conflict,marker
2018-01-02,2018-01-03,6263.1506,6332.2269,0.010948052247059081,109.48052247059081,Development,0.3655417975018648,0,0,-0.44796967786805275,0.5061426417836834,0,0,-0.1770721881044579,0,none
2018-01-03,2018-01-04,6331.7199,6388.2533,0.007667205872451843,76.67205872451844,Development,0.36651984859498543,0,0,-0.4469916267749321,0.47855836512974703,0,0,-0.20465646475839427,0,none
2018-01-04,2018-01-05,6380.2665,6417.535,0.005407187928592183,54.07187928592183,Development,0.3419029554209866,0,0,-0.47160851994893094,0.4815869262934413,0,0,-0.2016279035947,0,none
2018-01-05,2018-01-08,6414.7658,6417.2537,-0.00013913212544713893,-1.3913212544713893,Development,0.32560123975103206,0,0,-0.48791023561888547,0.4956451992069755,0,0,-0.18756963068116583,0,none
2018-01-08,2018-01-09,6413.8733,6446.1818,0.004336038256321784,43.36038256321784,Development,0.3622923111982024,0,0,-0.45121916417171515,0.474185249933589,0,0,-0.2090295799545523,0,none
2018-01-09,2018-01-10,6441.6841,6445.7462,0.00027582849025442613,2.7582849025442613,Development,0.3318912016993019,0,0,-0.4816202736706156,0.4989001532912214,0,0,-0.1843146765969199,0,none
2018-01-10,2018-01-11,6443.4609,6405.9395,-0.008001414271017082,-80.01414271017082,Development,0.329489909885058,0,0,-0.48402156548485953,0.5031087490458804,0,0,-0.18010608084226087,0,none
2018-01-11,2018-01-12,6391.9041,6425.9401,0.004212078213125858,42.12078213125858,Development,0.6072295353699708,0,0,-0.2062819399999467,0.47552982659884135,0,0,-0.20768500328929995,0,none
2018-01-12,2018-01-15,6418.8273,6399.3737,-0.004278211379826313,-42.78211379826313,Development,0.38506347677807873,0,0,-0.4284479985918388,0.5309836466559039,0,0,-0.1522311832322374,0,none
2018-01-15,2018-01-16,6391.3662,6253.3759,-0.022876673847916917,-228.76673847916916,Development,0.4759519191704786,0,0,-0.33755955619943895,0.49263763778193936,0,1,-0.19057719210620194,0,none
2018-01-16,2018-01-17,6245.153,6301.1327,0.00686354681782797,68.6354681782797,Development,0.9105461231294205,1,0,0.09703464775950299,0.5057659950265907,0,0,-0.1774488348615506,0,up
2018-01-17,2018-01-18,6288.0169,6267.4599,-0.00555911355772587,-55.5911355772587,Development,0.48401425061928266,0,0,-0.32949722475063487,0.609965390168162,0,0,-0.07324943971997933,0,none
2018-01-18,2018-01-19,6253.0611,6286.8007,0.005043145988130604,50.43145988130604,Development,0.5862408514261079,0,0,-0.2272706239438096,0.5943558940616154,0,0,-0.08885893582652593,0,none
2018-01-19,2018-01-22,6284.5962,6272.38,-0.0031571161246604085,-31.571161246604085,Development,0.5287739611435007,0,0,-0.2847375142264168,0.6577042989803805,0,0,-0.025510530907760787,0,none
2018-01-22,2018-01-23,6264.755,6347.6383,0.012439975705354822,124.39975705354823,Development,0.6021954680168473,0,0,-0.2113160073530702,0.6331971776363409,0,0,-0.05001765225180044,0,none
2018-01-23,2018-01-24,6342.6884,6354.9978,0.0016727134191236726,16.727134191236726,Development,0.4556259538718615,0,0,-0.357885521498056,0.6414288484451856,0,0,-0.041785981442955755,0,none
2018-01-24,2018-01-25,6353.2979,6394.2999,0.005273072430619141,52.73072430619141,Development,0.47379761416769267,0,0,-0.33971386120222485,0.6543393854596663,0,0,-0.028875444428475006,0,none
2018-01-25,2018-01-26,6386.7993,6382.7165,-0.001988398163693672,-19.88398163693672,Development,0.458629854399801,0,0,-0.35488162097011655,0.6367748023619384,0,0,-0.04644002752620291,0,none
2018-01-26,2018-01-29,6374.0998,6383.6312,0.0017158030691644122,17.15803069164412,Development,0.5193346408407339,0,0,-0.29417683452918364,0.5713867279942887,0,0,-0.11182810189385262,0,none
2018-01-29,2018-01-30,6385.0365,6309.8836,-0.013106941518658433,-131.06941518658434,Development,0.44898768901857206,0,0,-0.36452378635134547,0.5819526407936928,0,0,-0.10126218909444851,0,none
2018-01-30,2018-01-31,6301.3482,6313.442,-0.0037462459224203437,-37.462459224203435,Development,0.900770778704481,1,0,0.08725930333456344,0.5551959800442502,0,0,-0.1280188498438911,0,up
2018-01-31,2018-02-01,6277.7418,6189.3413,-0.015410413980390114,-154.10413980390115,Development,0.48619107588153526,0,0,-0.32732039948838226,0.5125500446618992,0,0,-0.17066478522624207,0,none
2018-02-01,2018-02-02,6180.9992,5984.7428,-0.03937541360626606,-393.7541360626606,Development,0.8649711455464464,1,0,0.05145967017652886,0.5051171424130154,0,1,-0.1780976874751259,0,up
2018-02-02,2018-02-05,5937.6198,6004.8494,-0.0016644885211410942,-16.644885211410944,Development,0.9275185732485673,1,0,0.11400709787864982,0.5568789226792104,0,0,-0.12633590720893095,0,up
