signal_key,signal_label,phase,event_days,realized_event_days,eligible_base_days,coverage_pct,directional_mean_bp,directional_median_bp,directional_win_rate_pct,eligible_directional_mean_bp,lift_vs_eligible_bp,eligible_directional_win_rate_pct
minus_exit,负向退出（-1→0）,Full,45,45,233,19.313304721030043,57.348994527063844,19.97574394678958,62.22222222222222,-20.179012905334055,77.5280074323979,48.927038626609445
minus_exit,负向退出（-1→0）,Development,26,26,134,19.402985074626866,40.55302541565924,27.58072525523736,65.38461538461539,-23.75501748686169,64.30804290252094,50.0
minus_exit,负向退出（-1→0）,Validation,11,11,63,17.46031746031746,98.46114711142212,-1.500892651761232,45.45454545454545,-14.532940764952881,112.994087876375,44.44444444444444
minus_exit,负向退出（-1→0）,Test,8,8,36,22.22222222222222,55.40668433563614,28.619053270557693,75.0,-16.74895543087045,72.1556397665066,52.77777777777778
plus_exit,正向退出（+1→0）,Full,62,62,406,15.270935960591133,46.97258643091582,25.64014740279008,51.61290322580645,-23.828771557422574,70.8013579883384,42.364532019704434
plus_exit,正向退出（+1→0）,Development,19,19,204,9.313725490196079,53.5342034366134,66.59531786717298,57.89473684210527,-21.52819068532202,75.06239412193543,40.68627450980392
plus_exit,正向退出（+1→0）,Validation,10,10,87,11.494252873563218,105.52682263171853,102.24128242103447,60.0,-29.962399341534724,135.48922197325325,48.275862068965516
plus_exit,正向退出（+1→0）,Test,33,33,115,28.695652173913043,25.45097779102851,-4.596346899421455,45.45454545454545,-23.26957921560307,48.72055700663158,40.869565217391305
minus_entry,零段向下（0→-1）,Full,136,136,1452,9.366391184573002,27.428764334792817,19.093103140784827,55.88235294117647,0.1840027318844576,27.24476160290836,49.51724137931034
minus_entry,零段向下（0→-1）,Development,90,90,876,10.273972602739725,22.690408499071705,19.093103140784827,55.55555555555556,0.7826669148088964,21.907741584262812,49.20091324200913
minus_entry,零段向下（0→-1）,Validation,25,25,334,7.48502994011976,13.297651090332252,22.827708135347848,56.00000000000001,3.8470498603535206,9.450601229978732,53.293413173652695
minus_entry,零段向下（0→-1）,Test,21,21,242,8.677685950413224,64.55875749319347,15.58225782082423,57.14285714285714,-7.09886212290919,71.65761961610266,45.416666666666664
plus_entry,零段向上（0→+1）,Full,86,86,1452,5.922865013774105,18.80117738607102,6.411909158883233,52.32558139534884,-0.1840027318844576,18.98518011795548,50.48275862068966
plus_entry,零段向上（0→+1）,Development,51,51,876,5.821917808219178,12.31070041271562,15.222083908474904,52.94117647058824,-0.7826669148088964,13.093367327524517,50.799086757990864
plus_entry,零段向上（0→+1）,Validation,20,20,334,5.9880239520958085,42.73942329510783,0.2399235071498529,50.0,-3.8470498603535206,46.58647315546135,46.706586826347305
plus_entry,零段向上（0→+1）,Test,15,15,242,6.198347107438017,8.951137883430308,39.655747831721655,53.333333333333336,7.09886212290919,1.8522757605211186,54.58333333333333
