series,series_label,state,state_label,segments,total_days,mean_days,median_days,p25_days,p75_days,max_days,one_day_share_pct,le_3d_share_pct,return_observations,mean_aligned_segment_return_bp,median_aligned_segment_return_bp,p05_aligned_segment_return_bp,p95_aligned_segment_return_bp,segment_win_rate_pct,adverse_tail_gt_3pct,adverse_tail_gt_5pct,raw_adverse_segment_count
base,基础三状态,-1,-1,38,233,6.131578947368421,6.0,5.0,7.0,12,0.0,0.0,38,126.38586690110093,93.04575960811523,-343.3255661845051,617.7191091485786,60.526315789473685,4,0,15
base,基础三状态,0,0,74,1452,19.62162162162162,13.0,6.0,25.75,89,0.0,14.864864864864865,0,,,,,,0,0,0
base,基础三状态,1,+1,35,406,11.6,9.0,7.5,16.5,31,0.0,0.0,35,280.02039652077264,189.7734687493724,-394.8817491653974,1645.9872608515434,68.57142857142857,5,2,11
combined,四信号合并,-1,-1,160,321,2.00625,1.0,1.0,1.0,7,76.25,76.25,160,68.48870973878886,31.478458784820475,-205.88014575465255,546.0449871595399,58.75,2,0,66
combined,四信号合并,0,0,257,1343,5.22568093385214,4.0,2.0,7.0,24,17.509727626459142,43.190661478599225,0,,,,,,0,0,0
combined,四信号合并,1,+1,121,427,3.5289256198347108,1.0,1.0,4.0,24,65.28925619834712,68.59504132231406,121,120.55621908423882,46.4417627827296,-280.8071168065418,777.3785399392818,58.67768595041323,5,2,50
reversal,仅退出信号,-1,-1,38,188,4.947368421052632,5.0,5.0,5.0,6,0.0,0.0,38,188.40583002453482,115.48884509125057,-290.3478674738403,832.6380200056628,65.78947368421053,2,0,13
reversal,仅退出信号,0,0,86,1559,18.127906976744185,11.0,4.25,22.0,89,5.813953488372093,19.767441860465116,0,,,,,,0,0,0
reversal,仅退出信号,1,+1,47,344,7.319148936170213,5.0,4.0,9.0,24,12.76595744680851,19.148936170212767,47,276.8423421983158,142.28926166849564,-315.3094622832723,1256.3079338902237,74.46808510638297,4,2,12
transfer,仅零段转移,-1,-1,159,366,2.30188679245283,1.0,1.0,1.0,13,76.10062893081762,76.10062893081762,159,54.16620602303324,27.48182734247484,-206.4068309919016,497.72692641193487,57.23270440251572,3,0,68
transfer,仅零段转移,0,0,235,1236,5.259574468085106,4.0,2.0,7.0,24,18.29787234042553,43.829787234042556,0,,,,,,0,0,0
transfer,仅零段转移,1,+1,109,489,4.486238532110092,1.0,1.0,7.0,31,67.88990825688074,67.88990825688074,109,104.38367858178319,27.285529847049794,-307.7521111203343,639.5181176712725,55.04587155963303,6,2,49
