date,close,score,predicted,actual_extreme,correct,direction_correct,o2o_bp,signed_o2o_bp,phase
2018-01-02,6332.2269,0.36651984859498543,0,0,0,0,76.67205872451844,76.67205872451844,development
2018-01-03,6388.2533,0.3419029554209866,0,0,0,0,54.07187928592183,54.07187928592183,development
2018-01-04,6417.535,0.32560123975103206,0,0,0,0,-1.3913212544713893,-1.3913212544713893,development
2018-01-05,6417.2537,0.3622923111982024,0,0,0,0,43.36038256321784,43.36038256321784,development
2018-01-08,6446.1818,0.3318912016993019,0,0,0,0,2.7582849025442613,2.7582849025442613,development
2018-01-09,6445.7462,0.329489909885058,0,0,0,0,-80.01414271017082,-80.01414271017082,development
2018-01-10,6405.9395,0.6072295353699708,0,0,0,0,42.12078213125858,42.12078213125858,development
2018-01-11,6425.9401,0.38506347677807873,0,0,0,0,-42.78211379826313,-42.78211379826313,development
2018-01-12,6399.3737,0.4759519191704786,0,0,0,0,-228.76673847916916,-228.76673847916916,development
2018-01-15,6253.3759,0.9105461231294205,1,0,0,1,68.6354681782797,68.6354681782797,development
2018-01-16,6301.1327,0.48401425061928266,0,0,0,0,-55.5911355772587,-55.5911355772587,development
2018-01-17,6267.4599,0.5862408514261079,0,0,0,0,50.43145988130604,50.43145988130604,development
2018-01-18,6286.8007,0.5287739611435007,0,0,0,0,-31.571161246604085,-31.571161246604085,development
2018-01-19,6272.38,0.6021954680168473,0,0,0,0,124.39975705354823,124.39975705354823,development
2018-01-22,6347.6383,0.4556259538718615,0,0,0,0,16.727134191236726,16.727134191236726,development
2018-01-23,6354.9978,0.47379761416769267,0,0,0,0,52.73072430619141,52.73072430619141,development
2018-01-24,6394.2999,0.458629854399801,0,0,0,0,-19.88398163693672,-19.88398163693672,development
2018-01-25,6382.7165,0.5193346408407339,0,0,0,0,17.15803069164412,17.15803069164412,development
2018-01-26,6383.6312,0.44898768901857206,0,0,0,0,-131.06941518658434,-131.06941518658434,development
2018-01-29,6309.8836,0.900770778704481,1,0,0,0,-37.462459224203435,-37.462459224203435,development
2018-01-30,6313.442,0.48619107588153526,0,0,0,0,-154.10413980390115,-154.10413980390115,development
2018-01-31,6189.3413,0.8649711455464464,1,0,0,0,-393.7541360626606,-393.7541360626606,development
2018-02-01,5984.7428,0.9275185732485673,1,0,0,0,-16.644885211410944,-16.644885211410944,development
2018-02-02,6004.8494,0.5161724984603258,0,0,0,0,-69.8263133043675,-69.8263133043675,development
2018-02-05,5998.2236,0.5429092548251215,0,0,0,0,-136.55416590820258,-136.55416590820258,development
2018-02-06,5704.2641,0.9026539744869677,1,0,0,0,-189.97599882190076,-189.97599882190076,development
2018-02-07,5711.3322,0.6509269267020744,0,0,0,0,-111.84873634435321,-111.84873634435321,development
2018-02-08,5766.4797,0.5253497593698777,0,0,0,0,-89.22115448860679,-89.22115448860679,development
2018-02-09,5554.8974,0.7513897327236682,0,1,0,0,267.7238072130317,267.7238072130317,development
2018-02-12,5699.0979,0.4846729951230173,0,0,0,0,18.734120761514372,18.734120761514372,development
2018-02-13,5736.9505,0.4878811558093782,0,0,0,0,102.86780794832583,102.86780794832583,development
2018-02-14,5754.8344,0.4715315942387825,0,0,0,0,132.33454738175388,132.33454738175388,development
2018-02-22,5875.7272,0.45757644676567644,0,0,0,0,82.86365116762396,82.86365116762396,development
2018-02-23,5897.6765,0.47154384152881,0,1,0,0,167.82878461819806,167.82878461819806,development
2018-02-26,6029.6795,0.44606493712995077,0,0,0,0,-96.22738787900764,-96.22738787900764,development
2018-02-27,6010.5573,0.48932946449116493,0,0,0,0,32.610143434594896,32.610143434594896,development
2018-02-28,6023.677,0.47821033798556833,0,0,0,0,110.4283188893751,110.4283188893751,development
2018-03-01,6090.2247,0.4240884209874269,0,0,0,0,21.816389309514683,21.816389309514683,development
2018-03-02,6056.3354,0.5454816350298883,0,0,0,0,17.613578952451192,17.613578952451192,development
2018-03-05,6064.0983,0.49920804638601346,0,0,0,0,93.09637727091369,93.09637727091369,development
2018-03-06,6145.5768,0.4164052113657421,0,0,0,0,-98.2654446606146,-98.2654446606146,development
2018-03-07,6086.4874,0.6752185959765645,0,0,0,0,94.59451805688745,94.59451805688745,development
2018-03-08,6131.5142,0.42209453672427527,0,1,0,0,162.59316724396288,162.59316724396288,development
2018-03-09,6206.9754,0.43602133850607133,0,0,0,0,88.25381639220086,88.25381639220086,development
2018-03-12,6295.7776,0.4119938490647986,0,0,0,0,-82.02644626731814,-82.02644626731814,development
2018-03-13,6254.1457,0.5162942749954995,0,0,0,0,-98.47035448641073,-98.47035448641073,development
2018-03-14,6189.317,0.7029365997736146,0,0,0,0,13.815329799689025,13.815329799689025,development
2018-03-15,6180.1108,0.4849548081838865,0,0,0,0,-62.867828402746184,-62.867828402746184,development
2018-03-16,6146.3058,0.5309664359920817,0,0,0,0,-53.5854991111151,-53.5854991111151,development
2018-03-19,6153.8339,0.4938029394974859,0,0,0,0,118.67215638327045,118.67215638327045,development
2018-03-20,6173.6984,0.40888824318392875,0,0,0,0,-84.21203831896263,-84.21203831896263,development
2018-03-21,6129.2042,0.8184116096329725,1,0,0,0,-353.47177204903545,-353.47177204903545,development
2018-03-22,6101.2276,0.5623897334405948,0,0,0,0,-334.8616050179054,-334.8616050179054,development
2018-03-23,5787.1523,0.9061330951247888,1,1,1,1,421.4676320128152,421.4676320128152,development
2018-03-26,5902.9588,0.44834934959428296,0,0,0,0,10.624663136662438,10.624663136662438,development
2018-03-27,6034.775,0.48606225582880813,0,0,0,0,52.67532381454387,52.67532381454387,development
2018-03-28,5973.3414,0.6947599474278021,0,0,0,0,97.10338663232233,97.10338663232233,development
2018-03-29,6034.8572,0.45814976333932755,0,0,0,0,124.0177148194821,124.0177148194821,development
2018-03-30,6114.7382,0.4273099932108279,0,0,0,0,-143.8918582732629,-143.8918582732629,development
2018-04-02,6121.9642,0.5304632923125036,0,0,0,0,63.882544780298204,63.882544780298204,development
2018-04-03,6059.7089,0.4453057753598273,0,0,0,0,-137.05880825647276,-137.05880825647276,development
