date,close_generated,score_generated,predicted_generated,actual_extreme_generated,correct_generated,direction_correct_generated,o2o_bp_generated,signed_o2o_bp_generated,phase_generated,close_local,score_local,predicted_local,actual_extreme_local,correct_local,direction_correct_local,o2o_bp_local,signed_o2o_bp_local,phase_local,_merge,match_close,match_score,match_predicted,match_actual_extreme,match_correct,match_direction_correct,match_o2o_bp,match_signed_o2o_bp,match_phase,all_columns_match,row_status
2018-01-02,6332.2269,0.478558365129747,0,0,0,0,76.67205872451844,-76.67205872451844,development,6332.2269,0.478558365129747,0,0,0,0,76.67205872451844,-76.67205872451844,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-03,6388.2533,0.4815869262934413,0,0,0,0,54.07187928592183,-54.07187928592183,development,6388.2533,0.4815869262934413,0,0,0,0,54.07187928592183,-54.07187928592183,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-04,6417.535,0.4956451992069755,0,0,0,0,-1.391321254471389,1.391321254471389,development,6417.535,0.4956451992069755,0,0,0,0,-1.391321254471389,1.391321254471389,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-05,6417.2537,0.474185249933589,0,0,0,0,43.36038256321784,-43.36038256321784,development,6417.2537,0.474185249933589,0,0,0,0,43.36038256321784,-43.36038256321784,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-08,6446.1818,0.4989001532912214,0,0,0,0,2.7582849025442613,-2.7582849025442613,development,6446.1818,0.4989001532912214,0,0,0,0,2.7582849025442613,-2.7582849025442613,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-09,6445.7462,0.5031087490458804,0,0,0,0,-80.01414271017082,80.01414271017082,development,6445.7462,0.5031087490458804,0,0,0,0,-80.01414271017082,80.01414271017082,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-10,6405.9395,0.4755298265988413,0,0,0,0,42.12078213125858,-42.12078213125858,development,6405.9395,0.4755298265988413,0,0,0,0,42.12078213125858,-42.12078213125858,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-11,6425.9401,0.5309836466559039,0,0,0,0,-42.78211379826313,42.78211379826313,development,6425.9401,0.5309836466559039,0,0,0,0,-42.78211379826313,42.78211379826313,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-12,6399.3737,0.4926376377819393,0,1,0,0,-228.76673847916916,228.76673847916916,development,6399.3737,0.4926376377819393,0,1,0,0,-228.76673847916916,228.76673847916916,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-15,6253.3759,0.5057659950265907,0,0,0,0,68.6354681782797,-68.6354681782797,development,6253.3759,0.5057659950265907,0,0,0,0,68.6354681782797,-68.6354681782797,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-16,6301.1327,0.609965390168162,0,0,0,0,-55.5911355772587,55.5911355772587,development,6301.1327,0.609965390168162,0,0,0,0,-55.5911355772587,55.5911355772587,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-17,6267.4599,0.5943558940616154,0,0,0,0,50.43145988130604,-50.43145988130604,development,6267.4599,0.5943558940616154,0,0,0,0,50.43145988130604,-50.43145988130604,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-18,6286.8007,0.6577042989803805,0,0,0,0,-31.571161246604085,31.571161246604085,development,6286.8007,0.6577042989803805,0,0,0,0,-31.571161246604085,31.571161246604085,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-19,6272.38,0.6331971776363409,0,0,0,0,124.39975705354824,-124.39975705354824,development,6272.38,0.6331971776363409,0,0,0,0,124.39975705354824,-124.39975705354824,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-22,6347.6383,0.6414288484451856,0,0,0,0,16.727134191236726,-16.727134191236726,development,6347.6383,0.6414288484451856,0,0,0,0,16.727134191236726,-16.727134191236726,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-23,6354.9978,0.6543393854596663,0,0,0,0,52.73072430619141,-52.73072430619141,development,6354.9978,0.6543393854596663,0,0,0,0,52.73072430619141,-52.73072430619141,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-24,6394.2999,0.6367748023619384,0,0,0,0,-19.88398163693672,19.88398163693672,development,6394.2999,0.6367748023619384,0,0,0,0,-19.88398163693672,19.88398163693672,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-25,6382.7165,0.5713867279942887,0,0,0,0,17.15803069164412,-17.15803069164412,development,6382.7165,0.5713867279942887,0,0,0,0,17.15803069164412,-17.15803069164412,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-26,6383.6312,0.5819526407936928,0,0,0,0,-131.06941518658434,131.06941518658434,development,6383.6312,0.5819526407936928,0,0,0,0,-131.06941518658434,131.06941518658434,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-29,6309.8836,0.5551959800442502,0,0,0,0,-37.462459224203435,37.462459224203435,development,6309.8836,0.5551959800442502,0,0,0,0,-37.462459224203435,37.462459224203435,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-30,6313.442,0.5125500446618992,0,0,0,0,-154.10413980390115,154.10413980390115,development,6313.442,0.5125500446618992,0,0,0,0,-154.10413980390115,154.10413980390115,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-31,6189.3413,0.5051171424130154,0,1,0,0,-393.7541360626606,393.7541360626606,development,6189.3413,0.5051171424130154,0,1,0,0,-393.7541360626606,393.7541360626606,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-02-01,5984.7428,0.5568789226792104,0,0,0,0,-16.644885211410944,16.644885211410944,development,5984.7428,0.5568789226792104,0,0,0,0,-16.644885211410944,16.644885211410944,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-02-02,6004.8494,0.6832030683229575,0,0,0,0,-69.8263133043675,69.8263133043675,development,6004.8494,0.6832030683229575,0,0,0,0,-69.8263133043675,69.8263133043675,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-02-05,5998.2236,0.7793968899801037,1,0,0,1,-136.55416590820258,136.55416590820258,development,5998.2236,0.7793968899801037,1,0,0,1,-136.55416590820258,136.55416590820258,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-02-06,5704.2641,0.7512064093573141,1,1,1,1,-189.97599882190076,189.97599882190076,development,5704.2641,0.7512064093573141,1,1,1,1,-189.97599882190076,189.97599882190076,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-02-07,5711.3322,0.7683205667012695,1,0,0,1,-111.8487363443532,111.8487363443532,development,5711.3322,0.7683205667012695,1,0,0,1,-111.8487363443532,111.8487363443532,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-02-08,5766.4797,0.7506453191729477,1,0,0,1,-89.22115448860679,89.22115448860679,development,5766.4797,0.7506453191729477,1,0,0,1,-89.22115448860679,89.22115448860679,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-02-09,5554.8974,0.7231961133793563,1,0,0,0,267.7238072130317,-267.7238072130317,development,5554.8974,0.7231961133793563,1,0,0,0,267.7238072130317,-267.7238072130317,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-02-12,5699.0979,0.6920481994443606,1,0,0,0,18.734120761514372,-18.734120761514372,development,5699.0979,0.6920481994443606,1,0,0,0,18.734120761514372,-18.734120761514372,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-02-13,5736.9505,0.6608106846781072,0,0,0,0,102.86780794832583,-102.86780794832583,development,5736.9505,0.6608106846781072,0,0,0,0,102.86780794832583,-102.86780794832583,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-02-14,5754.8344,0.6435686615683882,0,0,0,0,132.33454738175388,-132.33454738175388,development,5754.8344,0.6435686615683882,0,0,0,0,132.33454738175388,-132.33454738175388,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
