date,close_generated,score_generated,predicted_generated,actual_extreme_generated,correct_generated,direction_correct_generated,o2o_bp_generated,signed_o2o_bp_generated,phase_generated,close_local,score_local,predicted_local,actual_extreme_local,correct_local,direction_correct_local,o2o_bp_local,signed_o2o_bp_local,phase_local,_merge,match_close,match_score,match_predicted,match_actual_extreme,match_correct,match_direction_correct,match_o2o_bp,match_signed_o2o_bp,match_phase,all_columns_match,row_status
2018-01-02,6332.2269,0.3665198485949854,0,0,0,0,76.67205872451844,76.67205872451844,development,6332.2269,0.3665198485949854,0,0,0,0,76.67205872451844,76.67205872451844,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-03,6388.2533,0.3419029554209866,0,0,0,0,54.07187928592183,54.07187928592183,development,6388.2533,0.3419029554209866,0,0,0,0,54.07187928592183,54.07187928592183,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-04,6417.535,0.325601239751032,0,0,0,0,-1.391321254471389,-1.391321254471389,development,6417.535,0.325601239751032,0,0,0,0,-1.391321254471389,-1.391321254471389,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-05,6417.2537,0.3622923111982024,0,0,0,0,43.36038256321784,43.36038256321784,development,6417.2537,0.3622923111982024,0,0,0,0,43.36038256321784,43.36038256321784,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-08,6446.1818,0.3318912016993019,0,0,0,0,2.7582849025442613,2.7582849025442613,development,6446.1818,0.3318912016993019,0,0,0,0,2.7582849025442613,2.7582849025442613,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-09,6445.7462,0.329489909885058,0,0,0,0,-80.01414271017082,-80.01414271017082,development,6445.7462,0.329489909885058,0,0,0,0,-80.01414271017082,-80.01414271017082,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-10,6405.9395,0.6072295353699708,0,0,0,0,42.12078213125858,42.12078213125858,development,6405.9395,0.6072295353699708,0,0,0,0,42.12078213125858,42.12078213125858,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-11,6425.9401,0.3850634767780787,0,0,0,0,-42.78211379826313,-42.78211379826313,development,6425.9401,0.3850634767780787,0,0,0,0,-42.78211379826313,-42.78211379826313,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-12,6399.3737,0.4759519191704786,0,0,0,0,-228.76673847916916,-228.76673847916916,development,6399.3737,0.4759519191704786,0,0,0,0,-228.76673847916916,-228.76673847916916,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-15,6253.3759,0.9105461231294204,1,0,0,1,68.6354681782797,68.6354681782797,development,6253.3759,0.9105461231294204,1,0,0,1,68.6354681782797,68.6354681782797,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-16,6301.1327,0.4840142506192826,0,0,0,0,-55.5911355772587,-55.5911355772587,development,6301.1327,0.4840142506192826,0,0,0,0,-55.5911355772587,-55.5911355772587,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-17,6267.4599,0.5862408514261079,0,0,0,0,50.43145988130604,50.43145988130604,development,6267.4599,0.5862408514261079,0,0,0,0,50.43145988130604,50.43145988130604,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-18,6286.8007,0.5287739611435007,0,0,0,0,-31.571161246604085,-31.571161246604085,development,6286.8007,0.5287739611435007,0,0,0,0,-31.571161246604085,-31.571161246604085,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-19,6272.38,0.6021954680168473,0,0,0,0,124.39975705354824,124.39975705354824,development,6272.38,0.6021954680168473,0,0,0,0,124.39975705354824,124.39975705354824,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2018-01-22,6347.6383,0.4556259538718615,0,0,0,0,16.727134191236726,16.727134191236726,development,6347.6383,0.4556259538718615,0,0,0,0,16.727134191236726,16.727134191236726,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
