实际执行日,三状态,+1反转,-1反转,0转-1,0转+1,大涨,大跌,执行日O2O,阶段,仅零段反转状态,仅零段反转原因,仅零段反转日收益
2018-01-03,0,0,0,0,0,0,0,0.0076672058724518,Train,0,基础0,0.0
2018-01-04,0,0,0,0,0,0,0,0.0054071879285921,Train,0,基础0,0.0
2018-01-05,0,0,0,0,0,0,0,-0.0001391321254471,Train,0,基础0,-0.0
2018-01-08,0,0,0,0,0,0,0,0.0043360382563217,Train,0,基础0,0.0
2018-01-09,0,0,0,0,0,0,0,0.0002758284902544,Train,0,基础0,0.0
2018-01-10,0,0,0,0,0,0,0,-0.008001414271017,Train,0,基础0,-0.0
2018-01-11,0,0,0,0,0,0,0,0.0042120782131258,Train,0,基础0,0.0
2018-01-12,0,0,0,0,0,0,0,-0.0042782113798263,Train,0,基础0,-0.0
2018-01-15,0,0,0,0,0,0,0,-0.0228766738479169,Train,0,基础0,-0.0
2018-01-16,0,0,0,1,0,1,0,0.0068635468178279,Train,-1,0转-1持有,-0.0068635468178279
2018-01-17,-1,0,0,0,0,0,0,-0.0055591135577258,Train,-1,基础-1,0.0055591135577258
2018-01-18,-1,0,0,0,0,0,0,0.0050431459881306,Train,-1,基础-1,-0.0050431459881306
2018-01-19,-1,0,0,0,0,0,0,-0.0031571161246604,Train,-1,基础-1,0.0031571161246604
2018-01-22,-1,0,0,0,0,0,0,0.0124399757053548,Train,-1,基础-1,-0.0124399757053548
2018-01-23,-1,0,0,0,0,0,0,0.0016727134191236,Train,-1,基础-1,-0.0016727134191236
2018-01-24,0,0,0,0,0,0,0,0.0052730724306191,Train,0,基础0,0.0
2018-01-25,0,0,0,0,0,0,0,-0.0019883981636936,Train,0,基础0,-0.0
2018-01-26,0,0,0,0,0,0,0,0.0017158030691644,Train,0,基础0,0.0
2018-01-29,0,0,0,0,0,0,0,-0.0131069415186584,Train,0,基础0,-0.0
2018-01-30,0,0,0,0,0,1,0,-0.0037462459224203,Train,0,基础0,-0.0
2018-01-31,0,0,0,0,0,0,0,-0.0154104139803901,Train,0,基础0,-0.0
2018-02-01,0,0,0,0,0,1,0,-0.039375413606266,Train,0,基础0,-0.0
2018-02-02,0,0,0,1,0,1,0,-0.001664488521141,Train,-1,0转-1持有,0.001664488521141
2018-02-05,0,0,0,1,0,0,0,-0.0069826313304367,Train,-1,0转-1持有,0.0069826313304367
