series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,source_detail,zero_transfer_days,aligned_segment_return,is_directional
仅零段反转（0→-1/0→+1）,1,0,2018-01-03,2018-01-15,2018,Train,9,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,2,-1,2018-01-16,2018-01-23,2018,Train,6,-0.0173031522480507,True,0转-1持有；基础-1,1,-0.0173031522480507,True
仅零段反转（0→-1/0→+1）,3,0,2018-01-24,2018-02-01,2018,Train,7,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,4,-1,2018-02-02,2018-02-05,2018,Train,2,0.0086471198515777,True,0转-1持有,2,0.0086471198515777,True
仅零段反转（0→-1/0→+1）,5,0,2018-02-06,2018-02-08,2018,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,6,-1,2018-02-09,2018-02-22,2018,Train,5,-0.043243912881601704,True,0转-1持有,5,-0.043243912881601704,True
仅零段反转（0→-1/0→+1）,7,1,2018-02-23,2018-02-28,2018,Train,4,0.018707519134140798,True,0转+1持有,4,0.018707519134140798,True
仅零段反转（0→-1/0→+1）,8,0,2018-03-01,2018-03-05,2018,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,9,-1,2018-03-06,2018-03-07,2018,Train,2,0.0005169067389701014,True,0转-1持有,2,0.0005169067389701014,True
仅零段反转（0→-1/0→+1）,10,1,2018-03-08,2018-03-16,2018,Train,7,0.011589220233626397,True,基础+1,0,0.011589220233626397,True
仅零段反转（0→-1/0→+1）,11,0,2018-03-19,2018-03-21,2018,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,12,-1,2018-03-22,2018-03-26,2018,Train,3,0.0266865745054125,True,0转-1持有,3,0.0266865745054125,True
仅零段反转（0→-1/0→+1）,13,0,2018-03-27,2018-03-29,2018,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,14,-1,2018-03-30,2018-04-02,2018,Train,2,0.0019874143453779986,True,0转-1持有,2,0.0019874143453779986,True
仅零段反转（0→-1/0→+1）,15,0,2018-04-03,2018-04-16,2018,Train,8,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,16,-1,2018-04-17,2018-04-18,2018,Train,2,0.0097370050132449,True,0转-1持有,2,0.0097370050132449,True
仅零段反转（0→-1/0→+1）,17,0,2018-04-19,2018-04-25,2018,Train,5,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,18,-1,2018-04-26,2018-05-03,2018,Train,4,0.010001638198241401,True,0转-1持有,4,0.010001638198241401,True
仅零段反转（0→-1/0→+1）,19,0,2018-05-04,2018-05-11,2018,Train,6,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,20,1,2018-05-14,2018-05-15,2018,Train,2,0.0033991652443226003,True,0转+1持有,2,0.0033991652443226003,True
仅零段反转（0→-1/0→+1）,21,0,2018-05-16,2018-05-30,2018,Train,11,0.0,True,零段同日冲突置0；基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,22,-1,2018-05-31,2018-06-01,2018,Train,2,0.0052302864180309,True,0转-1持有,2,0.0052302864180309,True
仅零段反转（0→-1/0→+1）,23,0,2018-06-04,2018-06-05,2018,Train,2,0.0,True,基础0,0,0.0,False
