state,state_label,holding_days,segments,total_days
-1,-1,1,13,13
-1,-1,2,58,116
-1,-1,3,16,48
-1,-1,4,3,12
-1,-1,5,9,45
-1,-1,6,14,84
-1,-1,7,7,49
-1,-1,8,4,32
-1,-1,9,2,18
-1,-1,10,3,30
-1,-1,12,1,12
-1,-1,20,1,20
0,0,1,42,42
0,0,2,36,72
0,0,3,33,99
0,0,4,19,76
0,0,5,17,85
0,0,6,12,72
0,0,7,11,77
0,0,8,13,104
0,0,9,6,54
0,0,10,2,20
0,0,11,5,55
0,0,12,2,24
0,0,13,2,26
0,0,14,1,14
0,0,17,1,17
0,0,20,1,20
0,0,21,1,21
0,0,22,1,22
1,+1,1,11,11
1,+1,2,14,28
1,+1,3,14,42
1,+1,4,23,92
1,+1,5,13,65
1,+1,6,3,18
1,+1,7,4,28
1,+1,8,5,40
1,+1,9,2,18
1,+1,10,3,30
1,+1,11,2,22
1,+1,12,1,12
1,+1,13,3,39
1,+1,14,1,14
1,+1,15,2,30
1,+1,16,1,16
1,+1,17,4,68
1,+1,19,1,19
1,+1,20,1,20
1,+1,22,1,22
1,+1,25,1,25
1,+1,26,1,26
1,+1,33,1,33
