period,one_day_segments,two_day_segments,short_segments,all_segments,short_segment_pct
2018-01,0,0,0,3,0.0
2018-02,0,1,1,4,25.0
2018-03,1,3,4,9,44.44444444444444
2018-04,0,1,1,4,25.0
2018-05,0,2,2,4,50.0
2018-06,0,2,2,5,40.0
2018-07,1,0,1,5,20.0
2018-08,1,1,2,6,33.33333333333333
2018-09,0,0,0,2,0.0
2018-10,0,0,0,3,0.0
2018-11,1,2,3,5,60.0
2018-12,0,1,1,3,33.33333333333333
2019-01,0,2,2,3,66.66666666666666
2019-02,0,1,1,2,50.0
2019-03,0,2,2,3,66.66666666666666
2019-04,0,0,0,3,0.0
2019-05,2,0,2,5,40.0
2019-06,0,2,2,6,33.33333333333333
2019-07,0,1,1,4,25.0
2019-08,0,0,0,3,0.0
2019-09,0,1,1,3,33.33333333333333
2019-10,0,0,0,1,0.0
2019-11,0,1,1,4,25.0
2019-12,0,0,0,1,0.0
2020-01,0,0,0,1,0.0
2020-02,3,0,3,7,42.857142857142854
2020-03,1,1,2,6,33.33333333333333
2020-04,2,1,3,5,60.0
2020-05,0,0,0,2,0.0
2020-06,2,2,4,6,66.66666666666666
2020-07,0,1,1,4,25.0
2020-08,1,2,3,7,42.857142857142854
2020-09,3,0,3,7,42.857142857142854
2020-10,2,1,3,5,60.0
2020-11,0,2,2,5,40.0
2020-12,0,3,3,7,42.857142857142854
2021-01,2,5,7,9,77.77777777777779
2021-02,2,2,4,5,80.0
2021-03,2,0,2,6,33.33333333333333
2021-04,0,1,1,3,33.33333333333333
2021-05,2,1,3,7,42.857142857142854
2021-06,1,1,2,4,50.0
2021-07,1,3,4,8,50.0
2021-08,2,2,4,7,57.14285714285714
2021-09,2,1,3,7,42.857142857142854
2021-10,0,1,1,2,50.0
2021-11,2,1,3,7,42.857142857142854
2021-12,1,1,2,6,33.33333333333333
2022-01,0,0,0,4,0.0
2022-02,0,1,1,3,33.33333333333333
2022-03,3,2,5,7,71.42857142857143
2022-04,1,2,3,7,42.857142857142854
2022-05,0,3,3,6,50.0
2022-06,1,1,2,4,50.0
2022-07,3,1,4,6,66.66666666666666
2022-08,1,1,2,4,50.0
2022-09,1,1,2,7,28.57142857142857
2022-10,0,1,1,3,33.33333333333333
2022-11,0,1,1,3,33.33333333333333
2022-12,1,0,1,6,16.666666666666664
2023-01,0,0,0,3,0.0
2023-02,0,1,1,2,50.0
2023-03,0,2,2,5,40.0
2023-04,2,0,2,4,50.0
2023-05,1,1,2,5,40.0
2023-06,0,2,2,5,40.0
2023-07,0,0,0,2,0.0
2023-08,0,0,0,2,0.0
2023-09,2,2,4,6,66.66666666666666
2023-10,1,2,3,6,50.0
2023-11,0,2,2,5,40.0
2023-12,0,0,0,5,0.0
2024-01,0,1,1,6,16.666666666666664
2024-02,0,1,1,2,50.0
2024-03,1,1,2,6,33.33333333333333
2024-04,0,1,1,4,25.0
2024-05,1,2,3,6,50.0
2024-06,0,1,1,4,25.0
2024-07,1,2,3,6,50.0
2024-08,0,2,2,5,40.0
2024-09,0,1,1,3,33.33333333333333
2024-10,0,0,0,2,0.0
2024-11,1,0,1,5,20.0
2024-12,2,1,3,8,37.5
2025-01,1,1,2,5,40.0
2025-02,0,0,0,2,0.0
2025-03,0,2,2,4,50.0
2025-04,0,1,1,4,25.0
2025-05,1,2,3,5,60.0
2025-06,0,1,1,4,25.0
2025-07,1,0,1,2,50.0
2025-08,2,1,3,7,42.857142857142854
2025-09,1,1,2,6,33.33333333333333
2025-10,0,2,2,4,50.0
2025-11,0,1,1,5,20.0
2025-12,0,1,1,5,20.0
2026-01,0,0,0,4,0.0
2026-02,2,0,2,3,66.66666666666666
2026-03,0,2,2,6,33.33333333333333
2026-04,0,2,2,5,40.0
2026-05,5,1,6,8,75.0
2026-06,0,1,1,5,20.0
2026-07,0,0,0,4,0.0
2026-08,0,1,1,4,25.0
