state,state_label,holding_days,segments,total_days
-1,-1,1,13,13
-1,-1,2,58,116
-1,-1,3,16,48
-1,-1,4,6,24
-1,-1,5,20,100
-1,-1,6,10,60
-1,-1,7,5,35
-1,-1,8,2,16
-1,-1,9,1,9
-1,-1,13,1,13
0,0,1,44,44
0,0,2,39,78
0,0,3,36,108
0,0,4,27,108
0,0,5,17,85
0,0,6,12,72
0,0,7,10,70
0,0,8,16,128
0,0,9,7,63
0,0,10,4,40
0,0,11,5,55
0,0,12,3,36
0,0,13,2,26
0,0,14,1,14
0,0,17,1,17
0,0,20,1,20
0,0,21,1,21
0,0,22,1,22
1,+1,1,16,16
1,+1,2,17,34
1,+1,3,14,42
1,+1,4,26,104
1,+1,5,16,80
1,+1,6,5,30
1,+1,7,7,49
1,+1,8,5,40
1,+1,9,2,18
1,+1,10,3,30
1,+1,11,1,11
1,+1,12,2,24
1,+1,14,1,14
1,+1,15,2,30
1,+1,16,1,16
1,+1,17,2,34
1,+1,19,1,19
1,+1,20,1,20
1,+1,21,1,21
1,+1,24,1,24
