series,run_id,state,state_label,start_date,end_date,start_formation_date,end_formation_date,phase,holding_days,previous_state,next_state,formation_mechanism,source_detail,segment_return,return_available,+1反转_days,-1反转_days,0转-1_days,0转+1_days,大涨_days,大跌_days
Adj 1545,4,-1,-1,2018-02-02,2018-02-05,2018-02-01,2018-02-02,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.008647119851577845,True,0,0,2,0,1,0
Adj 1545,9,-1,-1,2018-03-06,2018-03-07,2018-03-05,2018-03-06,Train,2,0,1.0,0转-1持有路径短段,0转-1持有,0.000516906738970091,True,0,0,2,0,0,0
Adj 1545,11,0,0,2018-03-14,2018-03-14,2018-03-13,2018-03-13,Train,1,1,1.0,退出反转切出的0段,+1退出到0,0.0,True,1,0,0,0,0,0
Adj 1545,12,1,+1,2018-03-15,2018-03-16,2018-03-14,2018-03-15,Train,2,0,0.0,基础+1短段,基础+1,-0.004905249860305716,True,0,0,0,0,0,0
Adj 1545,16,-1,-1,2018-03-30,2018-04-02,2018-03-29,2018-03-30,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.00198741434537808,True,0,0,2,0,0,0
Adj 1545,18,-1,-1,2018-04-17,2018-04-18,2018-04-16,2018-04-17,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.009737005013244926,True,0,0,2,0,0,0
Adj 1545,22,1,+1,2018-05-14,2018-05-15,2018-05-11,2018-05-14,Train,2,0,0.0,0转+1持有路径短段,0转+1持有,0.0033991652443225995,True,0,0,0,2,0,0
Adj 1545,24,-1,-1,2018-05-31,2018-06-01,2018-05-30,2018-05-31,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.005230286418030916,True,0,0,2,0,0,0
Adj 1545,25,0,0,2018-06-04,2018-06-05,2018-06-01,2018-06-04,Train,2,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,28,-1,-1,2018-06-19,2018-06-20,2018-06-15,2018-06-19,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.03632225991229587,True,0,0,2,0,1,0
Adj 1545,33,0,0,2018-07-26,2018-07-26,2018-07-25,2018-07-25,Train,1,1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,35,-1,-1,2018-08-03,2018-08-06,2018-08-02,2018-08-03,Train,2,1,0.0,0转-1持有路径短段,0转-1持有,0.029631908650936456,True,0,0,2,0,0,0
