candidate_id,source_version,method_key,score_variant_number,min_zero_age,entry_quantile,confirmation_days,holding_package,selection_score,development,validation,state_quality_development,state_quality_validation,state_quality_gate_pass,holding_quality_development,holding_quality_validation,holding_quality_gate_pass,state_quality_dominates_baseline
V57_up_s01_a1_q0.85_c1_H04,V57,rqa,1,1,0.85,1,H04,0.7633484848484848,"{'selected_days': 51, 'eligible_days': 877, 'coverage': 0.05815279361459521, 'mean_directional_o2o_h1': 0.001231070041271562, 'mean_directional_o2o_h3': 0.00025200785227550907, 'h1_hit_rate': 0.5294117647058824, 'rank_ic': 0.02144987042407282, 'path_consistency_h1_h3': 0.6666666666666666, 'rapid_restore_rate': 0.9215686274509803, 'target_transition_rate': 0.058823529411764705, 'opposite_transition_rate': 0.0196078431372549, 'transition_event_rate': 0.0784313725490196, 'transition_purity': 0.75, 'eligible_target_transition_rate': 0.021664766248574687, 'target_transition_lift_vs_eligible': 0.037158763163190014, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0012915538036904766}","{'selected_days': 20, 'eligible_days': 334, 'coverage': 0.059880239520958084, 'mean_directional_o2o_h1': 0.004273942329510783, 'mean_directional_o2o_h3': 0.005569239095702711, 'h1_hit_rate': 0.5, 'rank_ic': 0.03470408532050144, 'path_consistency_h1_h3': 0.8, 'rapid_restore_rate': 0.95, 'target_transition_rate': 0.05, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.05, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.029940119760479042, 'target_transition_lift_vs_eligible': 0.02005988023952096, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0047915904594389965}","{'zero_segment_count': 79, 'zero_mean_length': 10.556962025316455, 'zero_one_day_share': 0.13924050632911392, 'target_daily_mean': 0.001968469263080074, 'target_daily_win': 0.5803921568627451, 'target_segment_win': 0.546875, 'target_segment_count': 64, 'negative_zero_one_day_share': -0.13924050632911392}","{'zero_segment_count': 37, 'zero_mean_length': 8.756756756756756, 'zero_one_day_share': 0.10810810810810811, 'target_daily_mean': 0.0032350628117903527, 'target_daily_win': 0.514018691588785, 'target_segment_win': 0.5357142857142857, 'target_segment_count': 28, 'negative_zero_one_day_share': -0.10810810810810811}",True,"{'holding_days': 253, 'segment_count': 51, 'mean_length': 5.019607843137255, 'one_day_share': 0.0, 'mean_segment_directional_return': 0.004925308426782363, 'segment_win_rate': 0.6078431372549019, 'daily_mean_directional_return': 0.0009813662253011267, 'daily_win_rate': 0.5533596837944664}","{'holding_days': 99, 'segment_count': 21, 'mean_length': 4.904761904761905, 'one_day_share': 0.0, 'mean_segment_directional_return': 0.010471532970293705, 'segment_win_rate': 0.6190476190476191, 'daily_mean_directional_return': 0.0019901781144762275, 'daily_win_rate': 0.47474747474747475}",True,False
V57_up_s00_a1_q0.80_c2_H02,V57,rqa,0,1,0.8,2,H02,0.9116780303030304,"{'selected_days': 36, 'eligible_days': 877, 'coverage': 0.04104903078677309, 'mean_directional_o2o_h1': 0.003805628700648381, 'mean_directional_o2o_h3': -0.0022775923767313325, 'h1_hit_rate': 0.6944444444444444, 'rank_ic': -0.017911230481092527, 'path_consistency_h1_h3': 0.5833333333333334, 'rapid_restore_rate': 0.8888888888888888, 'target_transition_rate': 0.1111111111111111, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.1111111111111111, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.021664766248574687, 'target_transition_lift_vs_eligible': 0.08944634486253641, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0038661124630672956}","{'selected_days': 11, 'eligible_days': 334, 'coverage': 0.03293413173652695, 'mean_directional_o2o_h1': 0.005698317709459237, 'mean_directional_o2o_h3': 0.00665546497770143, 'h1_hit_rate': 0.7272727272727273, 'rank_ic': 0.23234684426488467, 'path_consistency_h1_h3': 0.8181818181818182, 'rapid_restore_rate': 0.9090909090909091, 'target_transition_rate': 0.09090909090909091, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.09090909090909091, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.029940119760479042, 'target_transition_lift_vs_eligible': 0.06096897114861187, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0062159658393874506}",{},{},False,{},{},False,False
V57_up_s00_a5_q0.75_c2_H04,V57,rqa,0,5,0.75,2,H04,0.9110416666666667,"{'selected_days': 30, 'eligible_days': 718, 'coverage': 0.04178272980501393, 'mean_directional_o2o_h1': 0.0019165144369906165, 'mean_directional_o2o_h3': -0.004702627564205594, 'h1_hit_rate': 0.6, 'rank_ic': 0.26425760523047137, 'path_consistency_h1_h3': 0.6333333333333333, 'rapid_restore_rate': 0.8333333333333334, 'target_transition_rate': 0.16666666666666666, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.16666666666666666, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.023676880222841225, 'target_transition_lift_vs_eligible': 0.14298978644382543, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0019641013194259143}","{'selected_days': 14, 'eligible_days': 262, 'coverage': 0.05343511450381679, 'mean_directional_o2o_h1': 0.004148673915959807, 'mean_directional_o2o_h3': 0.00849770640727987, 'h1_hit_rate': 0.6428571428571429, 'rank_ic': 0.5790143618751017, 'path_consistency_h1_h3': 0.7857142857142857, 'rapid_restore_rate': 0.9285714285714286, 'target_transition_rate': 0.07142857142857142, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.07142857142857142, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.030534351145038167, 'target_transition_lift_vs_eligible': 0.04089422028353326, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.004900019098378524}",{},{},False,{},{},False,False
V57_up_s00_a5_q0.75_c2_H03,V57,rqa,0,5,0.75,2,H03,0.9100113636363637,"{'selected_days': 35, 'eligible_days': 718, 'coverage': 0.04874651810584958, 'mean_directional_o2o_h1': 0.0025650842218603825, 'mean_directional_o2o_h3': -0.0030236955328148962, 'h1_hit_rate': 0.6285714285714286, 'rank_ic': 0.15689056379913352, 'path_consistency_h1_h3': 0.6285714285714286, 'rapid_restore_rate': 0.9142857142857143, 'target_transition_rate': 0.08571428571428572, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.08571428571428572, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.023676880222841225, 'target_transition_lift_vs_eligible': 0.062037405491444486, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.00261267110429568}","{'selected_days': 16, 'eligible_days': 262, 'coverage': 0.061068702290076333, 'mean_directional_o2o_h1': 0.006513999287995377, 'mean_directional_o2o_h3': 0.01023325734768997, 'h1_hit_rate': 0.6875, 'rank_ic': 0.49742036071168677, 'path_consistency_h1_h3': 0.8125, 'rapid_restore_rate': 0.9375, 'target_transition_rate': 0.0625, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.0625, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.030534351145038167, 'target_transition_lift_vs_eligible': 0.03196564885496184, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.007265344470414094}",{},{},False,{},{},False,False
V57_up_s00_a1_q0.80_c2_H01,V57,rqa,0,1,0.8,2,H01,0.908641414141414,"{'selected_days': 39, 'eligible_days': 877, 'coverage': 0.04446978335233751, 'mean_directional_o2o_h1': 0.003441615617154358, 'mean_directional_o2o_h3': -0.0011101033992883264, 'h1_hit_rate': 0.6666666666666666, 'rank_ic': -0.018946311649373215, 'path_consistency_h1_h3': 0.5897435897435898, 'rapid_restore_rate': 0.8974358974358975, 'target_transition_rate': 0.10256410256410256, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.10256410256410256, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.021664766248574687, 'target_transition_lift_vs_eligible': 0.08089933631552787, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0035020993795732724}","{'selected_days': 12, 'eligible_days': 334, 'coverage': 0.03592814371257485, 'mean_directional_o2o_h1': 0.005559694875250977, 'mean_directional_o2o_h3': 0.006723551458709305, 'h1_hit_rate': 0.75, 'rank_ic': 0.29071848436041375, 'path_consistency_h1_h3': 0.8333333333333334, 'rapid_restore_rate': 0.9166666666666666, 'target_transition_rate': 0.08333333333333333, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.08333333333333333, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.029940119760479042, 'target_transition_lift_vs_eligible': 0.05339321357285429, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.006077343005179191}",{},{},False,{},{},False,False
V57_up_s00_a1_q0.75_c2_H01,V57,rqa,0,1,0.75,2,H01,0.9030151515151514,"{'selected_days': 50, 'eligible_days': 877, 'coverage': 0.05701254275940707, 'mean_directional_o2o_h1': 0.002194482606605179, 'mean_directional_o2o_h3': -0.00026947289923032745, 'h1_hit_rate': 0.58, 'rank_ic': 0.07387117523660834, 'path_consistency_h1_h3': 0.62, 'rapid_restore_rate': 0.9, 'target_transition_rate': 0.1, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.1, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.021664766248574687, 'target_transition_lift_vs_eligible': 0.07833523375142531, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0022549663690240936}","{'selected_days': 17, 'eligible_days': 334, 'coverage': 0.05089820359281437, 'mean_directional_o2o_h1': 0.005483086244596108, 'mean_directional_o2o_h3': 0.002699005551799269, 'h1_hit_rate': 0.7647058823529411, 'rank_ic': 0.2848378065349519, 'path_consistency_h1_h3': 0.7058823529411765, 'rapid_restore_rate': 0.8823529411764706, 'target_transition_rate': 0.11764705882352941, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.11764705882352941, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.029940119760479042, 'target_transition_lift_vs_eligible': 0.08770693906305037, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.006000734374524322}",{},{},False,{},{},False,False
V57_up_s00_a1_q0.80_c2_H03,V57,rqa,0,1,0.8,2,H03,0.9014974747474745,"{'selected_days': 33, 'eligible_days': 877, 'coverage': 0.037628278221208664, 'mean_directional_o2o_h1': 0.00497860761839351, 'mean_directional_o2o_h3': -0.0017327290223075717, 'h1_hit_rate': 0.7575757575757576, 'rank_ic': -0.03211778131615325, 'path_consistency_h1_h3': 0.5454545454545454, 'rapid_restore_rate': 0.9090909090909091, 'target_transition_rate': 0.09090909090909091, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.09090909090909091, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.021664766248574687, 'target_transition_lift_vs_eligible': 0.06924432466051622, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.005039091380812425}","{'selected_days': 11, 'eligible_days': 334, 'coverage': 0.03293413173652695, 'mean_directional_o2o_h1': 0.005698317709459237, 'mean_directional_o2o_h3': 0.00665546497770143, 'h1_hit_rate': 0.7272727272727273, 'rank_ic': 0.23234684426488467, 'path_consistency_h1_h3': 0.8181818181818182, 'rapid_restore_rate': 0.9090909090909091, 'target_transition_rate': 0.09090909090909091, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.09090909090909091, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.029940119760479042, 'target_transition_lift_vs_eligible': 0.06096897114861187, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0062159658393874506}",{},{},False,{},{},False,False
V57_up_s00_a1_q0.75_c2_H02,V57,rqa,0,1,0.75,2,H02,0.8946199494949495,"{'selected_days': 46, 'eligible_days': 877, 'coverage': 0.052451539338654506, 'mean_directional_o2o_h1': 0.00226610290381941, 'mean_directional_o2o_h3': -0.0015102047608226228, 'h1_hit_rate': 0.5869565217391305, 'rank_ic': 0.07914561711610835, 'path_consistency_h1_h3': 0.6086956521739131, 'rapid_restore_rate': 0.9130434782608695, 'target_transition_rate': 0.08695652173913043, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.08695652173913043, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.021664766248574687, 'target_transition_lift_vs_eligible': 0.06529175549055574, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0023265866662383243}","{'selected_days': 16, 'eligible_days': 334, 'coverage': 0.04790419161676647, 'mean_directional_o2o_h1': 0.004638797247846889, 'mean_directional_o2o_h3': 0.0014098534450474806, 'h1_hit_rate': 0.6875, 'rank_ic': 0.37582995306242817, 'path_consistency_h1_h3': 0.6875, 'rapid_restore_rate': 0.8125, 'target_transition_rate': 0.1875, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.1875, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.029940119760479042, 'target_transition_lift_vs_eligible': 0.15755988023952094, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.005156445377775103}",{},{},False,{},{},False,False
V57_up_s12_a1_q0.80_c2_H01,V57,rqa,12,1,0.8,2,H01,0.8891906565656565,"{'selected_days': 42, 'eligible_days': 877, 'coverage': 0.04789053591790194, 'mean_directional_o2o_h1': 0.002383209440491939, 'mean_directional_o2o_h3': 0.006193545076278194, 'h1_hit_rate': 0.5476190476190477, 'rank_ic': 0.36928326409160456, 'path_consistency_h1_h3': 0.6666666666666666, 'rapid_restore_rate': 0.9523809523809523, 'target_transition_rate': 0.047619047619047616, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.047619047619047616, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.021664766248574687, 'target_transition_lift_vs_eligible': 0.02595428137047293, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0024436932029108537}","{'selected_days': 11, 'eligible_days': 334, 'coverage': 0.03293413173652695, 'mean_directional_o2o_h1': 0.006703951525961583, 'mean_directional_o2o_h3': 0.0010980125772256982, 'h1_hit_rate': 0.7272727272727273, 'rank_ic': 0.5284751751907181, 'path_consistency_h1_h3': 0.6363636363636364, 'rapid_restore_rate': 0.9090909090909091, 'target_transition_rate': 0.09090909090909091, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.09090909090909091, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.029940119760479042, 'target_transition_lift_vs_eligible': 0.06096897114861187, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.007221599655889797}",{},{},False,{},{},False,False
V57_up_s08_a1_q0.80_c2_H01,V57,rqa,8,1,0.8,2,H01,0.8865530303030303,"{'selected_days': 41, 'eligible_days': 877, 'coverage': 0.046750285062713795, 'mean_directional_o2o_h1': 0.0015882904163973357, 'mean_directional_o2o_h3': -0.0015359204184397838, 'h1_hit_rate': 0.5365853658536586, 'rank_ic': 0.26138901053182045, 'path_consistency_h1_h3': 0.7317073170731707, 'rapid_restore_rate': 0.9512195121951219, 'target_transition_rate': 0.04878048780487805, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.04878048780487805, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.021664766248574687, 'target_transition_lift_vs_eligible': 0.027115721556303363, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0016487741788162502}","{'selected_days': 15, 'eligible_days': 334, 'coverage': 0.04491017964071856, 'mean_directional_o2o_h1': 0.0041821305859420345, 'mean_directional_o2o_h3': 0.003176466599383983, 'h1_hit_rate': 0.6666666666666666, 'rank_ic': 0.2683367442131824, 'path_consistency_h1_h3': 0.6666666666666666, 'rapid_restore_rate': 0.8666666666666667, 'target_transition_rate': 0.13333333333333333, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.13333333333333333, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.029940119760479042, 'target_transition_lift_vs_eligible': 0.10339321357285429, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0046997787158702484}",{},{},False,{},{},False,False
