candidate_id,source_version,method_key,score_variant_number,min_zero_age,entry_quantile,confirmation_days,holding_package,selection_score,development,validation,state_quality_development,state_quality_validation,state_quality_gate_pass,holding_quality_development,holding_quality_validation,holding_quality_gate_pass,state_quality_dominates_baseline
V38_down_s01_a1_q0.85_c1_H03,V38,volume_breakout,1,1,0.85,1,H03,0.7530129240710823,"{'selected_days': 90, 'eligible_days': 877, 'coverage': 0.10262257696693272, 'mean_directional_o2o_h1': 0.0022690408499071706, 'mean_directional_o2o_h3': 0.004350059259201027, 'h1_hit_rate': 0.5555555555555556, 'rank_ic': 0.22038111701033047, 'path_consistency_h1_h3': 0.6666666666666666, 'rapid_restore_rate': 0.9333333333333333, 'target_transition_rate': 0.06666666666666667, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.06666666666666667, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.02508551881413911, 'target_transition_lift_vs_eligible': 0.041581147852527554, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.002208557087488256}","{'selected_days': 25, 'eligible_days': 334, 'coverage': 0.0748502994011976, 'mean_directional_o2o_h1': 0.0013297651090332253, 'mean_directional_o2o_h3': 0.0019566449125358386, 'h1_hit_rate': 0.56, 'rank_ic': 0.025384615384615387, 'path_consistency_h1_h3': 0.76, 'rapid_restore_rate': 0.92, 'target_transition_rate': 0.08, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.08, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.029940119760479042, 'target_transition_lift_vs_eligible': 0.05005988023952096, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.000812116979105011}","{'zero_segment_count': 116, 'zero_mean_length': 6.853448275862069, 'zero_one_day_share': 0.11206896551724138, 'target_daily_mean': 0.00233272728042675, 'target_daily_win': 0.5223214285714286, 'target_segment_win': 0.5728155339805825, 'target_segment_count': 103, 'negative_zero_one_day_share': -0.11206896551724138}","{'zero_segment_count': 42, 'zero_mean_length': 7.666666666666667, 'zero_one_day_share': 0.07142857142857142, 'target_daily_mean': 0.0014182006198299292, 'target_daily_win': 0.5568181818181818, 'target_segment_win': 0.5454545454545454, 'target_segment_count': 33, 'negative_zero_one_day_share': -0.07142857142857142}",True,"{'holding_days': 222, 'segment_count': 90, 'mean_length': 2.466666666666667, 'one_day_share': 0.0, 'mean_segment_directional_return': 0.0031911500430088636, 'segment_win_rate': 0.5777777777777777, 'daily_mean_directional_return': 0.0013022422282365639, 'daily_win_rate': 0.5225225225225225}","{'holding_days': 55, 'segment_count': 25, 'mean_length': 2.2, 'one_day_share': 0.0, 'mean_segment_directional_return': 0.0027412755928981803, 'segment_win_rate': 0.6, 'daily_mean_directional_return': 0.0012581213780222084, 'daily_win_rate': 0.5818181818181818}",True,False
V38_down_s03_a3_q0.85_c1_H04,V38,volume_breakout,3,3,0.85,1,H04,0.8953123317178244,"{'selected_days': 61, 'eligible_days': 793, 'coverage': 0.07692307692307693, 'mean_directional_o2o_h1': 0.0050044405818241485, 'mean_directional_o2o_h3': 0.005614449357146728, 'h1_hit_rate': 0.6229508196721312, 'rank_ic': 0.09085140137493389, 'path_consistency_h1_h3': 0.7704918032786885, 'rapid_restore_rate': 0.9180327868852459, 'target_transition_rate': 0.08196721311475409, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.08196721311475409, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.02395964691046658, 'target_transition_lift_vs_eligible': 0.058007566204287514, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.00494347503406799}","{'selected_days': 21, 'eligible_days': 294, 'coverage': 0.07142857142857142, 'mean_directional_o2o_h1': 0.0052237562257138785, 'mean_directional_o2o_h3': 0.00367195746131472, 'h1_hit_rate': 0.6190476190476191, 'rank_ic': -0.0012987012987012987, 'path_consistency_h1_h3': 0.7619047619047619, 'rapid_restore_rate': 0.8571428571428571, 'target_transition_rate': 0.09523809523809523, 'opposite_transition_rate': 0.047619047619047616, 'transition_event_rate': 0.14285714285714285, 'transition_purity': 0.6666666666666666, 'eligible_target_transition_rate': 0.027210884353741496, 'target_transition_lift_vs_eligible': 0.06802721088435373, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0042487286542133695}","{'zero_segment_count': 98, 'zero_mean_length': 8.39795918367347, 'zero_one_day_share': 0.05102040816326531, 'target_daily_mean': 0.0031978877426421526, 'target_daily_win': 0.5384615384615384, 'target_segment_win': 0.6153846153846154, 'target_segment_count': 78, 'negative_zero_one_day_share': -0.05102040816326531}","{'zero_segment_count': 39, 'zero_mean_length': 8.307692307692308, 'zero_one_day_share': 0.02564102564102564, 'target_daily_mean': 0.0023959096137999357, 'target_daily_win': 0.5714285714285714, 'target_segment_win': 0.5862068965517241, 'target_segment_count': 29, 'negative_zero_one_day_share': -0.02564102564102564}",False,"{'holding_days': 260, 'segment_count': 61, 'mean_length': 4.262295081967213, 'one_day_share': 0.0, 'mean_segment_directional_return': -0.00021122737531417007, 'segment_win_rate': 0.4918032786885246, 'daily_mean_directional_return': -4.3699055031708285e-05, 'daily_win_rate': 0.49615384615384617}","{'holding_days': 89, 'segment_count': 21, 'mean_length': 4.238095238095238, 'one_day_share': 0.0, 'mean_segment_directional_return': 0.006628106793437537, 'segment_win_rate': 0.6190476190476191, 'daily_mean_directional_return': 0.001557800623803099, 'daily_win_rate': 0.5393258426966292}",False,False
V38_down_s11_a2_q0.65_c3_H02,V38,volume_breakout,11,2,0.65,3,H02,0.8723640280021541,"{'selected_days': 38, 'eligible_days': 835, 'coverage': 0.045508982035928146, 'mean_directional_o2o_h1': 0.0034502554793883404, 'mean_directional_o2o_h3': 0.004773946683923581, 'h1_hit_rate': 0.5789473684210527, 'rank_ic': 0.04913010176168071, 'path_consistency_h1_h3': 0.7631578947368421, 'rapid_restore_rate': 0.9473684210526315, 'target_transition_rate': 0.05263157894736842, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.05263157894736842, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.026347305389221556, 'target_transition_lift_vs_eligible': 0.026284273558146862, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.003270808541944227}","{'selected_days': 11, 'eligible_days': 314, 'coverage': 0.03503184713375796, 'mean_directional_o2o_h1': 0.0038725122784030275, 'mean_directional_o2o_h3': 0.0039021947638762404, 'h1_hit_rate': 0.45454545454545453, 'rank_ic': -0.02727272727272728, 'path_consistency_h1_h3': 0.8181818181818182, 'rapid_restore_rate': 0.8181818181818182, 'target_transition_rate': 0.18181818181818182, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.18181818181818182, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.03184713375796178, 'target_transition_lift_vs_eligible': 0.14997104806022005, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0032303640450424957}",{},{},False,{},{},False,False
V38_down_s03_a3_q0.80_c1_H04,V38,volume_breakout,3,3,0.8,1,H04,0.8688422186322025,"{'selected_days': 74, 'eligible_days': 793, 'coverage': 0.09331651954602774, 'mean_directional_o2o_h1': 0.00435986497644876, 'mean_directional_o2o_h3': 0.006784923661357352, 'h1_hit_rate': 0.6216216216216216, 'rank_ic': 0.17523880044427986, 'path_consistency_h1_h3': 0.7297297297297297, 'rapid_restore_rate': 0.9459459459459459, 'target_transition_rate': 0.05405405405405406, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.05405405405405406, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.02395964691046658, 'target_transition_lift_vs_eligible': 0.030094407143587475, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0042988994286926015}","{'selected_days': 25, 'eligible_days': 294, 'coverage': 0.08503401360544217, 'mean_directional_o2o_h1': 0.0032114704782409786, 'mean_directional_o2o_h3': 0.0017620865811428742, 'h1_hit_rate': 0.6, 'rank_ic': 0.12307692307692307, 'path_consistency_h1_h3': 0.72, 'rapid_restore_rate': 0.92, 'target_transition_rate': 0.08, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.08, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.027210884353741496, 'target_transition_lift_vs_eligible': 0.0527891156462585, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.00223644290674047}","{'zero_segment_count': 112, 'zero_mean_length': 7.178571428571429, 'zero_one_day_share': 0.0625, 'target_daily_mean': 0.0030814771277940137, 'target_daily_win': 0.5432692307692307, 'target_segment_win': 0.6195652173913043, 'target_segment_count': 92, 'negative_zero_one_day_share': -0.0625}","{'zero_segment_count': 44, 'zero_mean_length': 7.181818181818182, 'zero_one_day_share': 0.045454545454545456, 'target_daily_mean': 0.0019527760088094046, 'target_daily_win': 0.5681818181818182, 'target_segment_win': 0.5757575757575758, 'target_segment_count': 33, 'negative_zero_one_day_share': -0.045454545454545456}",False,"{'holding_days': 318, 'segment_count': 74, 'mean_length': 4.297297297297297, 'one_day_share': 0.0, 'mean_segment_directional_return': 0.0005983705219976415, 'segment_win_rate': 0.5405405405405406, 'daily_mean_directional_return': 0.00014084173873231244, 'daily_win_rate': 0.5094339622641509}","{'holding_days': 110, 'segment_count': 25, 'mean_length': 4.4, 'one_day_share': 0.0, 'mean_segment_directional_return': 0.005077145233078362, 'segment_win_rate': 0.56, 'daily_mean_directional_return': 0.0011600725098590437, 'daily_win_rate': 0.5272727272727272}",False,False
V38_down_s03_a2_q0.85_c1_H04,V38,volume_breakout,3,2,0.85,1,H04,0.866900915455035,"{'selected_days': 65, 'eligible_days': 835, 'coverage': 0.07784431137724551, 'mean_directional_o2o_h1': 0.004334580153773263, 'mean_directional_o2o_h3': 0.004295944187007254, 'h1_hit_rate': 0.6, 'rank_ic': 0.0715909090909091, 'path_consistency_h1_h3': 0.7538461538461538, 'rapid_restore_rate': 0.9076923076923077, 'target_transition_rate': 0.09230769230769231, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.09230769230769231, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.026347305389221556, 'target_transition_lift_vs_eligible': 0.06596038691847075, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.00415513321632915}","{'selected_days': 22, 'eligible_days': 314, 'coverage': 0.07006369426751592, 'mean_directional_o2o_h1': 0.0038119500905625004, 'mean_directional_o2o_h3': 0.0028220394002313113, 'h1_hit_rate': 0.5454545454545454, 'rank_ic': -0.017504234895539244, 'path_consistency_h1_h3': 0.8181818181818182, 'rapid_restore_rate': 0.8636363636363636, 'target_transition_rate': 0.09090909090909091, 'opposite_transition_rate': 0.045454545454545456, 'transition_event_rate': 0.13636363636363635, 'transition_purity': 0.6666666666666666, 'eligible_target_transition_rate': 0.03184713375796178, 'target_transition_lift_vs_eligible': 0.05906195715112913, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0031698018572019686}","{'zero_segment_count': 101, 'zero_mean_length': 8.108910891089108, 'zero_one_day_share': 0.10891089108910891, 'target_daily_mean': 0.00301540173024728, 'target_daily_win': 0.5326633165829145, 'target_segment_win': 0.5925925925925926, 'target_segment_count': 81, 'negative_zero_one_day_share': -0.10891089108910891}","{'zero_segment_count': 40, 'zero_mean_length': 8.025, 'zero_one_day_share': 0.075, 'target_daily_mean': 0.0020637697507244488, 'target_daily_win': 0.5529411764705883, 'target_segment_win': 0.5333333333333333, 'target_segment_count': 30, 'negative_zero_one_day_share': -0.075}",False,"{'holding_days': 278, 'segment_count': 65, 'mean_length': 4.3076923076923075, 'one_day_share': 0.0, 'mean_segment_directional_return': -0.001530768146764313, 'segment_win_rate': 0.46153846153846156, 'daily_mean_directional_return': -0.0003194607172915875, 'daily_win_rate': 0.4712230215827338}","{'holding_days': 95, 'segment_count': 23, 'mean_length': 4.260869565217392, 'one_day_share': 0.0, 'mean_segment_directional_return': 0.004418621705877928, 'segment_win_rate': 0.5652173913043478, 'daily_mean_directional_return': 0.001258972247969652, 'daily_win_rate': 0.5368421052631579}",False,False
V38_down_s03_a1_q0.85_c1_H04,V38,volume_breakout,3,1,0.85,1,H04,0.865790253096392,"{'selected_days': 66, 'eligible_days': 877, 'coverage': 0.07525655644241733, 'mean_directional_o2o_h1': 0.005332736707118526, 'mean_directional_o2o_h3': 0.004673498022454103, 'h1_hit_rate': 0.6363636363636364, 'rank_ic': 0.0844379501095919, 'path_consistency_h1_h3': 0.7575757575757576, 'rapid_restore_rate': 0.9242424242424242, 'target_transition_rate': 0.07575757575757576, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.07575757575757576, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.02508551881413911, 'target_transition_lift_vs_eligible': 0.05067205694343665, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.005272252944699612}","{'selected_days': 24, 'eligible_days': 334, 'coverage': 0.0718562874251497, 'mean_directional_o2o_h1': 0.0034891143283963533, 'mean_directional_o2o_h3': 0.002651056419349295, 'h1_hit_rate': 0.5416666666666666, 'rank_ic': 0.04347826086956521, 'path_consistency_h1_h3': 0.75, 'rapid_restore_rate': 0.875, 'target_transition_rate': 0.08333333333333333, 'opposite_transition_rate': 0.041666666666666664, 'transition_event_rate': 0.125, 'transition_purity': 0.6666666666666666, 'eligible_target_transition_rate': 0.029940119760479042, 'target_transition_lift_vs_eligible': 0.05339321357285429, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.002971466198468139}","{'zero_segment_count': 98, 'zero_mean_length': 8.346938775510203, 'zero_one_day_share': 0.11224489795918367, 'target_daily_mean': 0.003351389284968847, 'target_daily_win': 0.545, 'target_segment_win': 0.6341463414634146, 'target_segment_count': 82, 'negative_zero_one_day_share': -0.11224489795918367}","{'zero_segment_count': 40, 'zero_mean_length': 7.975, 'zero_one_day_share': 0.1, 'target_daily_mean': 0.0020148996632266165, 'target_daily_win': 0.5517241379310345, 'target_segment_win': 0.53125, 'target_segment_count': 32, 'negative_zero_one_day_share': -0.1}",False,"{'holding_days': 280, 'segment_count': 66, 'mean_length': 4.2727272727272725, 'one_day_share': 0.0, 'mean_segment_directional_return': -0.0014926819752657107, 'segment_win_rate': 0.48484848484848486, 'daily_mean_directional_return': -0.00030798446303361386, 'daily_win_rate': 0.4714285714285714}","{'holding_days': 103, 'segment_count': 25, 'mean_length': 4.24, 'one_day_share': 0.0, 'mean_segment_directional_return': 0.0035774854605525163, 'segment_win_rate': 0.56, 'daily_mean_directional_return': 0.0010446738828273476, 'daily_win_rate': 0.5242718446601942}",False,False
V38_down_s11_a2_q0.65_c3_H04,V38,volume_breakout,11,2,0.65,3,H04,0.8621122778675284,"{'selected_days': 30, 'eligible_days': 835, 'coverage': 0.03592814371257485, 'mean_directional_o2o_h1': 0.0028607560974358162, 'mean_directional_o2o_h3': 0.003985722319281404, 'h1_hit_rate': 0.5333333333333333, 'rank_ic': 0.029143492769744164, 'path_consistency_h1_h3': 0.6666666666666666, 'rapid_restore_rate': 0.9666666666666667, 'target_transition_rate': 0.03333333333333333, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.03333333333333333, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.026347305389221556, 'target_transition_lift_vs_eligible': 0.006986027944111777, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.002681309159991703}","{'selected_days': 10, 'eligible_days': 314, 'coverage': 0.03184713375796178, 'mean_directional_o2o_h1': 0.00493460295738477, 'mean_directional_o2o_h3': 0.005702672008201193, 'h1_hit_rate': 0.5, 'rank_ic': -0.07878787878787878, 'path_consistency_h1_h3': 0.8, 'rapid_restore_rate': 0.8, 'target_transition_rate': 0.2, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.2, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.03184713375796178, 'target_transition_lift_vs_eligible': 0.16815286624203823, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.004292454724024238}",{},{},False,{},{},False,False
V38_down_s11_a2_q0.65_c3_H03,V38,volume_breakout,11,2,0.65,3,H03,0.8618120624663437,"{'selected_days': 33, 'eligible_days': 835, 'coverage': 0.03952095808383234, 'mean_directional_o2o_h1': 0.0029553105588418453, 'mean_directional_o2o_h3': 0.003224731911587675, 'h1_hit_rate': 0.5757575757575758, 'rank_ic': -0.00267379679144385, 'path_consistency_h1_h3': 0.7272727272727273, 'rapid_restore_rate': 0.9393939393939394, 'target_transition_rate': 0.06060606060606061, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.06060606060606061, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.026347305389221556, 'target_transition_lift_vs_eligible': 0.03425875521683905, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.002775863621397732}","{'selected_days': 11, 'eligible_days': 314, 'coverage': 0.03503184713375796, 'mean_directional_o2o_h1': 0.0038725122784030275, 'mean_directional_o2o_h3': 0.0039021947638762404, 'h1_hit_rate': 0.45454545454545453, 'rank_ic': -0.02727272727272728, 'path_consistency_h1_h3': 0.8181818181818182, 'rapid_restore_rate': 0.8181818181818182, 'target_transition_rate': 0.18181818181818182, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.18181818181818182, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.03184713375796178, 'target_transition_lift_vs_eligible': 0.14997104806022005, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0032303640450424957}",{},{},False,{},{},False,False
V38_down_s11_a2_q0.60_c3_H01,V38,volume_breakout,11,2,0.6,3,H01,0.8595059235325794,"{'selected_days': 61, 'eligible_days': 835, 'coverage': 0.07305389221556886, 'mean_directional_o2o_h1': 0.003599793063683275, 'mean_directional_o2o_h3': 0.0026301338410048866, 'h1_hit_rate': 0.5737704918032787, 'rank_ic': 0.11025912215758857, 'path_consistency_h1_h3': 0.6229508196721312, 'rapid_restore_rate': 0.9508196721311475, 'target_transition_rate': 0.04918032786885246, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.04918032786885246, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.026347305389221556, 'target_transition_lift_vs_eligible': 0.022833022479630902, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0034203461262391614}","{'selected_days': 16, 'eligible_days': 314, 'coverage': 0.050955414012738856, 'mean_directional_o2o_h1': 0.002931301518168672, 'mean_directional_o2o_h3': 0.004387162681654941, 'h1_hit_rate': 0.5, 'rank_ic': 0.18529411764705883, 'path_consistency_h1_h3': 0.75, 'rapid_restore_rate': 0.8125, 'target_transition_rate': 0.1875, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.1875, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.03184713375796178, 'target_transition_lift_vs_eligible': 0.15565286624203822, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.00228915328480814}",{},{},False,{},{},False,False
V38_down_s03_a5_q0.85_c1_H04,V38,volume_breakout,3,5,0.85,1,H04,0.8548505654281099,"{'selected_days': 58, 'eligible_days': 718, 'coverage': 0.0807799442896936, 'mean_directional_o2o_h1': 0.0032021219489613505, 'mean_directional_o2o_h3': 0.001990023259896989, 'h1_hit_rate': 0.5689655172413793, 'rank_ic': 0.12282752468547174, 'path_consistency_h1_h3': 0.7586206896551724, 'rapid_restore_rate': 0.896551724137931, 'target_transition_rate': 0.10344827586206896, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.10344827586206896, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.025069637883008356, 'target_transition_lift_vs_eligible': 0.07837863797906061, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.003154535066526053}","{'selected_days': 20, 'eligible_days': 262, 'coverage': 0.07633587786259542, 'mean_directional_o2o_h1': 0.005635208310459727, 'mean_directional_o2o_h3': 0.003268096127636366, 'h1_hit_rate': 0.65, 'rank_ic': -0.030075187969924807, 'path_consistency_h1_h3': 0.8, 'rapid_restore_rate': 0.9, 'target_transition_rate': 0.05, 'opposite_transition_rate': 0.05, 'transition_event_rate': 0.1, 'transition_purity': 0.5, 'eligible_target_transition_rate': 0.022900763358778626, 'target_transition_lift_vs_eligible': 0.027099236641221377, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0048838631280410105}","{'zero_segment_count': 94, 'zero_mean_length': 8.787234042553191, 'zero_one_day_share': 0.05319148936170213, 'target_daily_mean': 0.0026252099341859633, 'target_daily_win': 0.5208333333333334, 'target_segment_win': 0.581081081081081, 'target_segment_count': 74, 'negative_zero_one_day_share': -0.05319148936170213}","{'zero_segment_count': 39, 'zero_mean_length': 8.333333333333334, 'zero_one_day_share': 0.02564102564102564, 'target_daily_mean': 0.002460984253354189, 'target_daily_win': 0.5783132530120482, 'target_segment_win': 0.5862068965517241, 'target_segment_count': 29, 'negative_zero_one_day_share': -0.02564102564102564}",False,"{'holding_days': 250, 'segment_count': 58, 'mean_length': 4.310344827586207, 'one_day_share': 0.0, 'mean_segment_directional_return': -0.0026231448385532676, 'segment_win_rate': 0.4482758620689655, 'daily_mean_directional_return': -0.0006215654336418832, 'daily_win_rate': 0.464}","{'holding_days': 86, 'segment_count': 20, 'mean_length': 4.3, 'one_day_share': 0.0, 'mean_segment_directional_return': 0.006879718954918868, 'segment_win_rate': 0.6, 'daily_mean_directional_return': 0.0015922291412830815, 'daily_win_rate': 0.5348837209302325}",False,False
V38_down_s03_a3_q0.85_c1_H02,V38,volume_breakout,3,3,0.85,1,H02,0.8522872913301024,"{'selected_days': 91, 'eligible_days': 793, 'coverage': 0.11475409836065574, 'mean_directional_o2o_h1': 0.0024181525024675682, 'mean_directional_o2o_h3': 0.0009750717256797149, 'h1_hit_rate': 0.5714285714285714, 'rank_ic': 0.10848861283643893, 'path_consistency_h1_h3': 0.7142857142857143, 'rapid_restore_rate': 0.9230769230769231, 'target_transition_rate': 0.07692307692307693, 'opposite_transition_rate': 0.0, 'transition_event_rate': 0.07692307692307693, 'transition_purity': 1.0, 'eligible_target_transition_rate': 0.02395964691046658, 'target_transition_lift_vs_eligible': 0.05296343001261035, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0023571869547114096}","{'selected_days': 26, 'eligible_days': 294, 'coverage': 0.08843537414965986, 'mean_directional_o2o_h1': 0.004593701082340871, 'mean_directional_o2o_h3': 0.005293940996297661, 'h1_hit_rate': 0.6153846153846154, 'rank_ic': 0.05025641025641025, 'path_consistency_h1_h3': 0.7692307692307693, 'rapid_restore_rate': 0.8846153846153846, 'target_transition_rate': 0.07692307692307693, 'opposite_transition_rate': 0.038461538461538464, 'transition_event_rate': 0.11538461538461539, 'transition_purity': 0.6666666666666666, 'eligible_target_transition_rate': 0.027210884353741496, 'target_transition_lift_vs_eligible': 0.04971219256933543, 'test_used_for_selection': False, 'improvement_vs_all_eligible_zero': 0.0036186735108403615}","{'zero_segment_count': 126, 'zero_mean_length': 6.2936507936507935, 'zero_one_day_share': 0.047619047619047616, 'target_daily_mean': 0.002392751609104424, 'target_daily_win': 0.5288888888888889, 'target_segment_win': 0.5754716981132075, 'target_segment_count': 106, 'negative_zero_one_day_share': -0.047619047619047616}","{'zero_segment_count': 43, 'zero_mean_length': 7.255813953488372, 'zero_one_day_share': 0.023255813953488372, 'target_daily_mean': 0.0023707163478659077, 'target_daily_win': 0.5730337078651685, 'target_segment_win': 0.5882352941176471, 'target_segment_count': 34, 'negative_zero_one_day_share': -0.023255813953488372}",False,"{'holding_days': 114, 'segment_count': 91, 'mean_length': 1.2527472527472527, 'one_day_share': 0.8021978021978022, 'mean_segment_directional_return': 0.0017722354389196405, 'segment_win_rate': 0.5714285714285714, 'daily_mean_directional_return': 0.0014228843414052204, 'daily_win_rate': 0.5614035087719298}","{'holding_days': 30, 'segment_count': 26, 'mean_length': 1.1923076923076923, 'one_day_share': 0.8076923076923077, 'mean_segment_directional_return': 0.006556623133291391, 'segment_win_rate': 0.6923076923076923, 'daily_mean_directional_return': 0.004875292479512076, 'daily_win_rate': 0.6333333333333333}",False,False
