实际执行日,三状态,+1反转,-1反转,0转-1,0转+1,大涨,大跌,调整后三状态,调整原因,阶段,执行日开盘,close,high,low,下一实际交易日,下一交易日开盘,执行日O2O,行情中有执行日价格,推定形成日,形成日早于执行日,原始状态,原始策略日收益,调整策略日收益,指数日收益,O2O可评价,原始净值,调整净值,指数净值,原始超额净值,调整超额净值,调整相对原始净值,year,month,raw_nav_2026,adjusted_nav_2026,index_nav_2026,adjusted_excess_2026,adjusted_minus_raw_2026
2026-01-05,1,0,0,0,0,0,0,1,基础+1,Test,7523.8754,7651.1981,7651.2383,7523.2477,2026-01-06,7663.9415,0.0186162173818029,True,2025-12-31,True,1,0.0186162173818029,0.0186162173818029,0.0186162173818029,True,2.2273961839886427,3.4954028693573447,1.4076070609720817,1.8197891230165608,3.087795808385267,2.268006685368704,2026,2026-01,1.018616217381803,1.018616217381803,1.018616217381803,1.0,1.0
2026-01-06,1,0,0,0,0,0,0,1,基础+1,Test,7663.9415,7814.1356,7814.6506,7663.6621,2026-01-07,7838.9115,0.022830289088193,True,2026-01-05,True,1,0.022830289088193,0.022830289088193,0.022830289088193,True,2.2502264730768355,3.518233158445538,1.4304373500602747,1.8197891230165608,3.087795808385267,2.268006685368704,2026,2026-01,1.0414465064699958,1.0414465064699958,1.0414465064699958,1.0,1.0
2026-01-07,1,0,0,0,0,0,0,1,基础+1,Test,7838.9115,7875.0822,7909.6559,7828.3941,2026-01-08,7853.2089,0.0018239011883218,True,2026-01-06,True,1,0.0018239011883218,0.0018239011883218,0.0018239011883218,True,2.252050374265157,3.52005705963386,1.4322612512485966,1.8197891230165608,3.087795808385267,2.268006685368704,2026,2026-01,1.0432704076583177,1.0432704076583177,1.0432704076583177,1.0,1.0
2026-01-08,1,0,0,0,0,0,0,1,基础+1,Test,7853.2089,7894.5447,7938.5946,7849.0679,2026-01-09,7907.8485,0.0069576144854621,True,2026-01-07,True,1,0.0069576144854621,0.0069576144854621,0.0069576144854621,True,2.2590079887506196,3.5270146741193225,1.4392188657340588,1.8197891230165608,3.087795808385267,2.268006685368704,2026,2026-01,1.0502280221437799,1.0502280221437799,1.0502280221437799,1.0,1.0
2026-01-09,1,0,0,0,0,0,0,1,基础+1,Test,7907.8485,8056.6858,8064.7584,7907.8485,2026-01-12,8141.6262,0.0295627438993044,True,2026-01-08,True,1,0.0295627438993044,0.0295627438993044,0.0295627438993044,True,2.288570732649924,3.5565774180186267,1.4687816096333632,1.8197891230165608,3.087795808385267,2.268006685368704,2026,2026-01,1.079790766043084,1.079790766043084,1.079790766043084,1.0,1.0
2026-01-12,1,0,0,0,0,0,0,1,基础+1,Test,8141.6262,8249.1275,8261.3544,8103.2382,2026-01-13,8270.4224,0.015819468597072,True,2026-01-09,True,1,0.015819468597072,0.015819468597072,0.015819468597072,True,2.304390201246996,3.5723968866156985,1.4846010782304353,1.8197891230165608,3.087795808385267,2.268006685368704,2026,2026-01,1.0956102346401562,1.0956102346401562,1.0956102346401562,1.0,1.0
2026-01-13,1,0,0,0,0,0,0,1,基础+1,Test,8270.4224,8143.28,8270.4224,8106.6099,2026-01-14,8165.352,-0.0127043571559295,True,2026-01-12,True,1,-0.0127043571559295,-0.0127043571559295,-0.0127043571559295,True,2.2916858440910666,3.559692529459769,1.4718967210745058,1.8197891230165608,3.087795808385267,2.268006685368704,2026,2026-01,1.0829058774842266,1.0829058774842266,1.0829058774842266,1.0,1.0
2026-01-14,1,1,0,0,0,1,0,0,+1退出到0,Test,8165.352,8227.697,8368.2215,8123.4045,2026-01-15,8170.3486,0.0006119270791999,True,2026-01-13,True,1,0.0006119270791999,0.0,0.0006119270791999,True,2.292297771170267,3.559692529459769,1.4725086481537055,1.8197891230165608,3.087183881306067,2.2673947582895035,2026,2026-01,1.0835178045634266,1.0829058774842266,1.0835178045634266,0.9993880729208001,0.9993880729208001
2026-01-15,1,1,0,0,0,0,0,0,+1退出到0,Test,8170.3486,8223.2683,8249.0307,8148.7884,2026-01-16,8241.6934,0.0087321610732742,True,2026-01-14,True,1,0.0087321610732742,0.0,0.0087321610732742,True,2.301029932243541,3.559692529459769,1.48124080922698,1.8197891230165608,3.078451720232793,2.2586625972162295,2026,2026-01,1.0922499656367008,1.0829058774842266,1.0922499656367008,0.9906559118475259,0.9906559118475259
2026-01-16,1,1,0,0,0,0,0,0,+1退出到0,Test,8241.6934,8232.674,8292.7409,8204.5254,2026-01-19,8199.4986,-0.0051196760122136,True,2026-01-15,True,1,-0.0051196760122136,-0.0,-0.0051196760122136,True,2.295910256231327,3.559692529459769,1.4761211332147663,1.8197891230165608,3.083571396245006,2.2637822732284434,2026,2026-01,1.0871302896244872,1.0829058774842266,1.0871302896244872,0.9957755878597395,0.9957755878597395
2026-01-19,1,0,0,0,0,0,0,1,基础+1,Test,8199.4986,8287.947,8318.3703,8195.089,2026-01-20,8307.6416,0.01318897718941,True,2026-01-16,True,1,0.01318897718941,0.01318897718941,0.01318897718941,True,2.309099233420737,3.5728815066491793,1.4893101104041764,1.8197891230165608,3.083571396245006,2.2637822732284434,2026,2026-01,1.1003192668138972,1.0960948546736367,1.1003192668138972,0.9957755878597395,0.9957755878597395
2026-01-20,1,0,0,0,0,0,0,1,基础+1,Test,8307.6416,8247.8049,8342.8738,8142.1424,2026-01-21,8196.5565,-0.0133714362449145,True,2026-01-19,True,1,-0.0133714362449145,-0.0133714362449145,-0.0133714362449145,True,2.2957277971758225,3.5595100704042646,1.475938674159262,1.8197891230165608,3.083571396245006,2.2637822732284434,2026,2026-01,1.0869478305689826,1.0827234184287222,1.0869478305689826,0.9957755878597395,0.9957755878597395
2026-01-21,1,0,0,0,0,0,0,1,基础+1,Test,8196.5565,8340.1133,8351.4545,8196.5565,2026-01-22,8355.6781,0.0194132255417258,True,2026-01-20,True,1,0.0194132255417258,0.0194132255417258,0.0194132255417258,True,2.3151410227175484,3.5789232959459905,1.4953518997009878,1.8197891230165608,3.083571396245006,2.2637822732284434,2026,2026-01,1.1063610561107085,1.1021366439704479,1.1063610561107085,0.9957755878597395,0.9957755878597395
2026-01-22,1,0,0,0,0,0,0,1,基础+1,Test,8355.6781,8387.595,8396.1328,8337.195,2026-01-23,8422.3561,0.0079799627513177,True,2026-01-21,True,1,0.0079799627513177,0.0079799627513177,0.0079799627513177,True,2.323120985468866,3.5869032586973084,1.503331862452305,1.8197891230165608,3.083571396245006,2.2637822732284434,2026,2026-01,1.1143410188620262,1.1101166067217656,1.1143410188620262,0.9957755878597395,0.9957755878597395
2026-01-23,1,0,0,0,0,0,0,1,基础+1,Test,8422.3561,8590.1659,8590.1659,8417.752,2026-01-26,8624.8883,0.0240469765936397,True,2026-01-22,True,1,0.0240469765936397,0.0240469765936397,0.0240469765936397,True,2.347167962062506,3.610950235290949,1.5273788390459453,1.8197891230165608,3.083571396245006,2.2637822732284434,2026,2026-01,1.138387995455666,1.1341635833154053,1.138387995455666,0.9957755878597395,0.9957755878597395
2026-01-26,1,1,0,0,0,0,0,0,+1退出到0,Test,8624.8883,8506.6932,8671.3461,8453.4762,2026-01-27,8464.6504,-0.0185785478520341,True,2026-01-23,True,1,-0.0185785478520341,-0.0,-0.0185785478520341,True,2.3285894142104717,3.610950235290949,1.5088002911939111,1.8197891230165608,3.102149944097041,2.282360821080477,2026,2026-01,1.1198094476036318,1.1341635833154053,1.1198094476036318,1.0143541357117736,1.0143541357117736
