series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,aligned_segment_return,is_directional
Raw 1545,1,0,2018-01-03,2018-01-16,2018,Train,10,0.0,True,0.0,False
Raw 1545,2,-1,2018-01-17,2018-01-23,2018,Train,5,-0.01043960543022282,True,-0.01043960543022282,True
Raw 1545,3,0,2018-01-24,2018-03-07,2018,Train,26,0.0,True,0.0,False
Raw 1545,4,1,2018-03-08,2018-03-16,2018,Train,7,0.011589220233626518,True,0.011589220233626518,True
Raw 1545,5,0,2018-03-19,2018-07-26,2018,Train,89,0.0,True,0.0,False
Raw 1545,6,1,2018-07-27,2018-08-02,2018,Train,5,-0.055530811980927464,True,-0.055530811980927464,True
Raw 1545,7,0,2018-08-03,2018-08-23,2018,Train,15,0.0,True,0.0,False
Raw 1545,8,-1,2018-08-24,2018-08-30,2018,Train,5,-0.0006269924146098393,True,-0.0006269924146098393,True
Raw 1545,9,0,2018-08-31,2018-10-12,2018,Train,25,0.0,True,0.0,False
Raw 1545,10,-1,2018-10-15,2018-10-19,2018,Train,5,0.025527661386894218,True,0.025527661386894218,True
Raw 1545,11,0,2018-10-22,2018-11-19,2018,Train,21,0.0,True,0.0,False
Raw 1545,12,1,2018-11-20,2018-11-26,2018,Train,5,-0.05088213303382105,True,-0.05088213303382105,True
Raw 1545,13,0,2018-11-27,2018-12-26,2018,Train,22,0.0,True,0.0,False
Raw 1545,14,-1,2018-12-27,2019-01-04,2018,Train,5,0.0055143743245271715,True,0.0055143743245271715,True
Raw 1545,15,0,2019-01-07,2019-01-14,2019,Train,6,0.0,True,0.0,False
Raw 1545,16,1,2019-01-15,2019-01-25,2019,Train,9,0.013931346581054438,True,0.013931346581054438,True
Raw 1545,17,0,2019-01-28,2019-02-12,2019,Train,7,0.0,True,0.0,False
Raw 1545,18,1,2019-02-13,2019-03-11,2019,Train,19,0.21789375766130725,True,0.21789375766130725,True
Raw 1545,19,0,2019-03-12,2019-04-26,2019,Train,33,0.0,True,0.0,False
Raw 1545,20,-1,2019-04-29,2019-05-13,2019,Train,8,0.08773760331674829,True,0.08773760331674829,True
Raw 1545,21,0,2019-05-14,2019-08-20,2019,Train,70,0.0,True,0.0,False
Raw 1545,22,1,2019-08-21,2019-09-12,2019,Train,17,0.07967096180631428,True,0.07967096180631428,True
Raw 1545,23,0,2019-09-16,2019-12-06,2019,Train,55,0.0,True,0.0,False
Raw 1545,24,1,2019-12-09,2020-01-13,2019,Train,25,0.10639273478676325,True,0.10639273478676325,True
Raw 1545,25,0,2020-01-14,2020-02-18,2020,Train,20,0.0,True,0.0,False
Raw 1545,26,1,2020-02-19,2020-02-28,2020,Train,8,-0.0235551189533183,True,-0.0235551189533183,True
Raw 1545,27,0,2020-03-02,2020-03-13,2020,Train,10,0.0,True,0.0,False
Raw 1545,28,-1,2020-03-16,2020-03-25,2020,Train,8,0.05707282537791325,True,0.05707282537791325,True
Raw 1545,29,0,2020-03-26,2020-05-07,2020,Train,27,0.0,True,0.0,False
Raw 1545,30,1,2020-05-08,2020-05-21,2020,Train,10,-0.009515607184077512,True,-0.009515607184077512,True
Raw 1545,31,0,2020-05-22,2020-06-10,2020,Train,14,0.0,True,0.0,False
Raw 1545,32,1,2020-06-11,2020-06-23,2020,Train,9,0.03395677481314563,True,0.03395677481314563,True
Raw 1545,33,0,2020-06-24,2020-07-03,2020,Train,6,0.0,True,0.0,False
Raw 1545,34,1,2020-07-06,2020-07-16,2020,Train,9,0.040633892842996455,True,0.040633892842996455,True
Raw 1545,35,0,2020-07-17,2020-09-10,2020,Train,40,0.0,True,0.0,False
Raw 1545,36,-1,2020-09-11,2020-09-18,2020,Train,6,-0.04494960894796729,True,-0.04494960894796729,True
Raw 1545,37,0,2020-09-21,2020-10-26,2020,Train,20,0.0,True,0.0,False
Raw 1545,38,-1,2020-10-27,2020-11-03,2020,Train,6,-0.010120488616025325,True,-0.010120488616025325,True
Raw 1545,39,0,2020-11-04,2021-02-04,2020,Train,66,0.0,True,0.0,False
